reviews_text,reviews_header,Asin
"I bought this tv during amazon sale for Rs4791..Its mind blwing purchase for this price.Picture quality and sound quality good for the price u pay.All ports are working fine..Usb ports, hdmi port, vga port..I palyed full hd videos by pendrive and all worked fine without any prblem...So guys go for it ...and please call KEVIN customer care when u receive this tv for installation....For better picture quality please do your picture settings from remote by selecting Brightness-40, contrast-38, saturation-20, which left make it 30",Great product for reasonable price,B079ZSFJRG
"Have 40"" sony which is 40k 55"" MI which is 45k, Full HD projector around 70k. All these are value for money but this one seems to be more than value that I paid. Wanted to use in room and works as expected, Sound was something I was worried but this easily can provide better sound. Picture clarity to my surprise is good. Havent tried pen drive and other options. Can be really used for smaller rooms and can be a good stand by TV. Worth every rupee. Only thing that needs be seen durability. 2 years run will surely get back the money I invested. Good buy and happy to buy.",What you expect for 4.5k?,B079ZSFJRG
"I had earlier posted about the bad sound of the TV. Well after complaining, the manufacturer has replaced the product with a new one within 10 days, and the TV is working absolutely fine. No doubts on the picture quality and sound now. It has great quality at this rate.",Replaced and satisfied,B079ZSFJRG
Display panel is loose and tv light is coming out from black border. I visited the place yesterday found the defect. Don't know if customer care will replace it.,"Low quality product, you need to be lucky to get full working tv.",B079ZSFJRG
"TV is no where near a LED Tv resolution; it is at best comparable to a backlit LCD, which I suspect it might actually be! Absolutely horrible picture quality, with pixels showing up in movies and video games. Sound quality is not at all satisfactory either, lots of echo. Worse is that Amazon REFUSED to give refund even though I have reported multiple defects with the TV! Amazon customer service is horrendous, so I would actually recommend anyone NOT to buy this product at all, especially from Amazon. Horrible experience, thanks to Amazon!","Horrible Picture, not even same as LCD, Avoid buying!",B079ZSFJRG
"FIRST IMPRESSION WAS HOW LIGHT IT WAS LIKE A FEATHER BECAUSE LAST TV IS ALSO OF 24'' BUT TOO HEAVY BUT WHEN I UNBOXED KEVIN 24'' I WAS REALLY FELT VERY LIGHT . AND THE PICTURE QUALITY IS ALSO GOOD COMPARED TO FEW OTHER BRANDS AND THE MOST IMPORTANT THING IS SOUND OUTPUT ITS REALLY GOOD LIKE A SOUND BAR , AS I TOOK THIS TV FOR MY PARENTS WHO LIKE SMALL TV FOR THEIR BEDROOM IT SUITS FOR MY BUDGET AND OVER ALL A WELL DESIGNED PRODUCT FOR AFFORDABLE PRICE.",AFFORDABLE TELEVISION,B079ZSFJRG
"Bought this TV (32"") on 3rd Jan, 2019 for the price of 8399. Before I begin with the detailed product review I would like to talk about delivery and installation. Amazon, as usuall delivered the product on time with scheduled delivery and product unboxing and verification on spot by the delivery agent. Installation: We need to call kevin customer care for installation request.I read lot of reviews taking about how bad the installation service was but in my case the installation was done on the same day of raising the request (for free). kudos to kevin for that.Kevin has a 3rd party service provider for installation which is Jeeves they are a professional repair n installation company so we can expect professional service from them. Now coming to the TV first things first the picture quality is not bad for the price. Colors are a little saturated but otherwise its quite good. Sound is suffecient for a small to medium room and quality is fine.The Panel is unbelievably light weight but build quality is not too bad but again for the price of course. You can't compare this tv with the likes of Sony, or LG for obvious reasons but for the price of 8k its a fine product indeed. Just go for it... Happy purchasing... :)",Worth Every Penny...!Go For It...,B079ZSFJRG
love it.....awesome sound and superb quality hd channels with hd dish set top box. and the normal channels are also good but sound i must say awesome ....worth budget money purchase,8k@10% discount ....really super tv and better than branded one i saw in physical store,B079ZSFJRG
"I bought it at Rs. 6,550/- from Amazon. Like everybody else, I believed that unless you buy a big Korean or Japanese brand TV, you can't be a 100% certain of it's quality. But on my brother's persuasion, I bought this TV, specifically depending on the reviews on Amazon. The delivery was sooner than promised, and the delivery personnel were very careful and diligent with the delivery. They unpacked the TV to ensure that the product reached me undamaged. The only disappointing aspect was that the Installation team from KEVIN never called. But that turned out to be for the best since I fixed the stand of the TV myself with a screwdriver and then instead of wall-mounting it, I set it up on the TV table. Now let me tell you about the features. Picture Quality is Outright excellent. Compared to similar 24 inch TVs offered by LG, Samsung and Sony, which I observed in stores and my friends' homes, KEVIN has an impeccable picture quality. Color quality is well-managed and the brightness is just right. TV's body is firm and the TV's screen has no wear or ageing despite extreme use for months. The best thing of this TV- the SOUND BAR. You don't need an external sound unit or home theatre system because the SOUND BAR has incredible sound quality which is still clear everywhere, even in a 2000 sq ft house. All in all, don't doubt this TV. Just go for it. You won't get a 24 inch TV with such incredible quality from any other brand for such good price. Let me say that again- ""GO FOR IT!""",Surprisingly Excellent!!!!,B079ZSFJRG
"Nice product...Picture Quality is good. Sound is very nice loud and clear...very light weight... I've also kevin 40"" smart LED....my experience with Kevin is awesome...",Nice Product in this price range,B079ZSFJRG
