reviews_text,reviews_header,Asin
Cheap quality item which I received... Some sparking sound was coming out from speakers... So that I returned it,One Star,B07DTSCMMB
Terrible. Stopped working in 1 month and after sales service people making all excuses to not service the same.,Horrible,B07DTSCMMB
Pls don't purchase this TV. Very worst service,Pls don't purchase,B07DTSCMMB
"I bought this product from Amazon. First I struggled to had it installed. After installation it stopped working with a spark in back side of TV. I registered a complain with TCL call center and I was assured to attend it within 72 hours. After a wait of almost 10 days when I called them back, call center said ""as per my record your complain was resolved!!!"". When I told them that forget about resolution, your technician did not even call me. After being answer-less, call center guy disconnected the call and same thing happened with later calls. I am still waiting to have it repaired. I would suggest not to buy it. Bad quality product and extremely poor TCL services.",Stopped Working in 3 Months-Bad TCL Service,B07DTSCMMB
"Great TV. Great value for money. Good picture quality, sound quality is also above average, and if you want to know about durability, know that I am using it for a year now. Bought it on flash sale last year. I have used it with Tata Sky as well as with Amazon Fire TV stick. Absolutely no problems. Great value for money ❤️",Value for money.,B07DTSCMMB
Read a lot of negative comments. But honestly I had a very Good experience with this TV. It was delivered in less than 24 hour of my placing the order. To my surprise it was even installed in less than 24 hours of delivery. Picture quality and sound is very good. At this price this quality and sound is a deal. We can not compare a 12k product with a 50k product. But I am very happy for what I got in 12k.,Very Good quality at this price,B07DTSCMMB
Worst product.. Not working after 2 month.. Till now no response from Tcl. Think before buy. Service after sales totally horrible.,Worst product.,B07DTSCMMB
"Writing this review after being harassed by the worst service of this TCL TV. Purchased this TV in Oct-18 and it got fault in Dec-18 just in 2 months which creates a disappointment about the product quality. 22 days back I had registered a complaint number 33367501, till now 2 times technician visits, first technician tells any spare defective and the second technician tells any other spare defective but the matter fact is that no solution has been provided till date and 22 days crossed. Very Very disappointed and I will never suggest any of my contact channel to buy TCL products. In case the issue will not be resolved soon, I will highlight the matter in social media and will be filing a case in consumer court against the company.",WORST PRODUCT AND SERVICE I HAVE EVER SEEN,B07DTSCMMB
plz don't buy this type of products with out having brand I have take 32 inch led form TCL 1 year complete. ofter one the led display is not working I have warrint more 4 months I have give complete to TCL company but they r not give proper response I have give complete already 30 days over I have call them mean agine saying for 30 day .,don't buy,B07DTSCMMB
"TV at 12,500 this price is best but the installation for TV no one come to install , I have installed TV by myself and don't aspect customer service from TCL TV And I had make this smart by amazon fire stick",Best TV but no customers service,B07DTSCMMB
"I had purchased this TV and few months it ran smooth, after that suddenly the mother board had given problem. TCL customer care it's worst. They don't have mechanism even to provide ticket number as SMS and also the status. Everytime you need to call customer care every time and they don't have information about the background technical team.. These guys had closed my ticket with out any information and I fighted them to open a escalated ticket. I was not sure how to proceed further..",No proper technical support and customer care,B07DTSCMMB
RETURNED BCS RECEIVED IN DAMAGED CONDITION,One Star,B07DTSCMMB
This is the worst product i have purchased. The moment the warranty period expired the TV stopped functioning. The company engineer charged 300 for home visit. He said panel needs to be replaced and coat of panel is same as the cost of the new TV.....this company is a fraud and all should boycott buying this company products,Worst customer service and quality of products,B07DTSCMMB
Writing this after 2 years of use Pros: Picture quality is superb Sound is ok not faced a single issue throughout these 2 years Price is super affordable Cons: Few video types are not identified while plugging in USB Volume level is not suitable for brilliant movie experience though it supports Dolby digital 5.0,Review after 2 years use!,B07DTSCMMB
