reviews_text,reviews_header,Asin
"Got this tv during diwali sale for 27K. At this price point one can't ask for more. Picture quality is at par. Some comments have mentioned about sound problem. I don't think so. Sound is pretty much normal. And one can always connect to external speakers. 43 inches TV at this price, total value for money. No issues. Delivery was on time and same day Samsung guy came and installed it. With this tv you get mounting clamps inside.",Total Value for Money. Picture quality at par.,B07F1SKCZ2
This product is a basic model as told by samsung engineer ....First the delivery itself was a big mess....it was marked as delivered on 31 october but it was not delivered till nov 7th ....then when it was delivered the guys did not know it was for exchange....then installation took 2 more days.... There is a blurness with the picture quality ....when enquired the samsung engineer said it is due to the d2h quality ...so please note that when you are buying this ...you need to have hd d2h box else the picture quality will be blurred...on top of it the sound quality is very poor.... Samsung engineer itself told that because it is priced less this tv is not so good.....so please think twice before purchasing this...,This is the basic model of samsung with low quality...,B07F1SKCZ2
"Got defective product, there was no display at all. Seller should check before dispatching the product. Bad experience.",Defective product Received.,B07F1SKCZ2
Bought Samsung 43 inch LED about 5 months back....TV stopped working due to some internal fault . It's been 1.5 months since then and my TV even being within Warranty hasn't been replaced or repaired. Now Service Centre people are saying they will give vouchers using which we can purchase another TV and those vouchers are not even redeemable in my city. The Service Centre people are also asking for additional 600 Rs as we don't have the TV box with us. This is very ridiculous after sales Service of Samsung. I will post this message across all social media platforms so no one falls prey of such ridiculous service. I am also filing case in consumer court to get refund of my television and for the mental stress had to go through because of this.,Ridiculous experience with Samsung,B07F1SKCZ2
Broken tv,I have got broken tv,B07F1SKCZ2
"Worst picture quality, If u dnt hv any prior experience of LEDs go for it bt if u know how pictire quality of LEDs is supposed to be. Dnt get trapped seeing brand Samsung & low Price of This Tv, its a trash, pixels break & very poor quality of Display. Returned it after few days of testing.",Very poor picture quality,B07F1SKCZ2
"Seems like a minor mistake from product team.. the video/pics are differnt that specifications and actual product is a old version.. it is NOT A smart TV. Not worth 30K for sure. Besides.. Amazon's customer service team is just another maze run.. and open loop.. you will be running in circles, pathetic service teams.. instances like these bring out the loose ends and if not fixed they become a reason. Amazon needs to learn this.. loose ends is fine, today's technology enabled customers understand, what we dont is misleading, unwillingness to fix the issue, blame game and 17th century customer skills. DO NOT BUY !!!",Seems like a minor mistake,B07F1SKCZ2
THE PRODUCT DESCRIPTION DOES NOT MATCH THE VIDEO ATTACHED. THE VIDEO DEMONSTRATION SHOWS A SMART TV FEATURES ETC BUT REALLY THE TV IS JUST A NORMAL TV. DONT BE FOOLED BY THE VIDEO,WRONG DESCRIPTION,B07F1SKCZ2
Product design is good but the picture quality of full HD is very bad. MP4 not supporting,The Picture Quality of SD & HD both are same.,B07F1SKCZ2
Very nice product. I am totally satisfied with the product. Good service by Amazon and Samsung both. For best quality you have to contact HD connection like DTH or HD set top box...,Good product..,B07F1SKCZ2
Poor picture quality....waste of money...totally disappointment of the product....would like to replace the product...bad experience,Not worth it....,B07F1SKCZ2
"GOOD PICTURE CLARITY ,LIFE STYLE WATCH LED TV. SOUND 14W AVERAGE SOUND BUT HOME THEATRE SYSTEM HELP BETTER GREAT SOUND. FAST SERVICE AMAZON & SAMSUNG.","BUDGET LED TV,ORIGINAL FULL HD",B07F1SKCZ2
"The picture quality is not so good , as company say this TV is full HD but quality of this like HD ready not full HD this picture is also not smart as mentioned on amazon... I am not setisfy with this product",3 star,B07F1SKCZ2
It looks good. But the most appalling part on the part of Samsung as well as amazon is they don't give you the copy of the warranty .. I called the customer care they say it is.not being given for some products. This is so appalling. If tom there is a dispute how will I claim warranty ? Irresponsible by Samsung and amazon. Technitian says 2 years warranty of all. How will I know the period of warranty without the info being given ! Worst,Warranty,B07F1SKCZ2
Didn't expect such a quality product at reasonable price. Amazon made our day by providing what we exactly looking for. Super fast delivery and good response from Installation persons. Nowadays really stand is no where bothered and not using at all.. Persons who are looking only for quality HD view can go for it we brought it for our parents where they are looking only for quality dish views. And offcouse Pendrive options and access to ports are very easy since there are kept side ways. Thanks guys for understanding our requirements and making us feel that we made right choice!!.. thanks Amazon and thanks Samsung,Value for money and worth buying it!!,B07F1SKCZ2
"TV's display is a big let down. The LED is very dimly lit and the colors are so inaccurate that it can't differentiate with grey & black, while and offwhite. I don't the how other products perform in this price range but this product definitely will not satisfy the quality you would expect from a TV.",Very dim and inaccurate color display,B07F1SKCZ2
Good low price TV by Samsung. Installed same day by Samsung guy. Picture quality is good as it is hd ready. Sound quality average.,Good TV at low price,B07F1SKCZ2
It was told that wall mount bracket is included but when I received the product wall mount bracket was not there,Wall mount bracket not found,B07F1SKCZ2
Bought it on Amazon Great Indian Festival at 30k with 1k cashback also..means 29k. Picture quality is superb..design is eligant...sound quality I felt not at par with contemprories like LG..can be improved.But still very good. Got Amazon fire stick with that 1k cashback applied..nd it cost Rs1900 only. So basically I got a full jd tv of 43inch at 29k nd changed it to smart tv in 2k only ..VALUE F9R MONEY.,VALUE FOR MONEY.,B07F1SKCZ2
"Only 2months of using TV, stopped working, got problem in mother board. Brand telling need to replace mother board, Picture quality is too bad. Need improvements in sound quality. And provide delayed service from Samsung service team. I recommend DONT buy this product.","Worst Product From Samsung,",B07F1SKCZ2
Nice product picture quality better value for money,Nice product,B07F1SKCZ2
Wanted to replace it with better features TV as all the features weren't provided in the ad. Better spend some more and buy a better TV,Okay product,B07F1SKCZ2
it is an 2016 model,waste of money,B07F1SKCZ2
This is first time i am writing a review for product i purchased.. Picture quality is too bad.. I exchanged my 10 years old toshiba 32 inch LCD TV with this.. Now i regret.. Because that TV was far better than this Samsung HDTV. Speakers are also not as I expected.. I wanted to return this product but they refused.. So I have to suffer with this for next 1 year at least..😂 😂,Overall Genuine Review..,B07F1SKCZ2
The 14 watt sound output was way below expectations. Had to upgrade the output with the Boat Avante soundbar. The picture quality is also on the duller side but that should pass for a majority of users.,A 'B grader' all the way,B07F1SKCZ2
"Amazing TV at this price from Samsung with 3 HDMI ports, solving my problem to have DTH, fire stick and my PS3 to be plugged in at the same time... great on time delivery by Amazon and then an installation by Samsung within 4 hrs of delivery.. great experience all across",Value for Money,B07F1SKCZ2
I like this,Nice tv,B07F1SKCZ2
Sound is not clear.... More noise,Sound is not good,B07F1SKCZ2
Kindly if you are planning for the purchase of TV. Follow these points:- 1) Always check the ratio of Length and height which should lie in and around the ratio of 1.414. 2) Do not get blind by seeing the larger inch in cheap price. 3) Sony Bravia is always a better choice.,how to purchase a TV,B07F1SKCZ2
I booked smart TV ..but I have been received basic model....in this series 5 model.. updated features are not available ......,Wrong item delivered,B07F1SKCZ2
"Picture and sound quality are average, as in same size samsung has costly models. But in this budget it is very good. Cost effective product.",Average picture and sound quality.,B07F1SKCZ2
"This product got faulty within one month from the date of purchase, Unsatisfactory product,very disappointed ,locked complaints to samsung in last one month uneducated engineer comes for service within 3/4 alternate days but still not get the issue related to product.",Worst service seen ever in my life.,B07F1SKCZ2
Picture quality is not good at all. Rgb setting is quite odd. I would suggest to go for a better one.,Not Value for money,B07F1SKCZ2
"An excellent buy, and at this price point (29k without any deal/festive discount) cannot ask for more. Delivery was as scheduled and the Samsung engineer called the same evening and scheduled installation and demo. Great experience overall","VFM Deal, great product",B07F1SKCZ2
Pic quality is so so. Pls improve the same. MI is going ahead,Quality,B07F1SKCZ2
Good service provided by samsung installation has done within 7 hours after delivery tv is also very cool considering price point,Good service by samsung and great deal by amazon,B07F1SKCZ2
"1. Good quality and easy installation. 2. Samsung engineer delivered the VISA (or something like that named) wall mount, the next day. 3. Other features as usual.","Generic 32"" LCD TV, appropriate for medium sized house.",B07F1SKCZ2
"Picture quality it is very poor. Sound quality is just comparable to mobile speaker only. May be we can consider the item for value for money, becoz i got the product for just 12200 rs. But, if u are a lover of hd movies and shows, never go for it. I strongly recommend sony only. This is my personal experience","Value for money, but pic and sound quality poor",B07F1SKCZ2
It is not worth paid amount with out leg for the TV..,Not satisfied..,B07F1SKCZ2
If you are looking for basic LED having no extra features And you are not concerned over picture quality (this one is an average ) then this one is for you.,Worth it !!,B07F1SKCZ2
Poor picture quality.. and Amazon support team also not supporting for replacement or return (as per their return policy within 10 days terms) they are just making their customer fool. This is my last transaction with Amazon.,Don't buy this product.. poor picture quality,B07F1SKCZ2
I bought it on Prime Day Sale and got a really good discount. The delivery and installation process was smooth and commendable. Great deal.,Great buy!,B07F1SKCZ2
Ok,Good,B07F1SKCZ2
On time delivery.Free quick and good installation service by Samsung customer Support.Great support from Amazon support team for arranging quick installation.Worth for money. Picture quality is good with HD channels.Overall satisfied with the product. :) .Use HD set up box for better picture quality.,Good product with best price.,B07F1SKCZ2
"Very good experience with delivery and installation.. Got the product at a good price with additional discount through bank offers.. Bought it for my parents who needed a basic tv.. picture and sound quality is great..they are happy, no complaints",Great buy!!,B07F1SKCZ2
"As per committed 48hrs tv is not getting install , sasmung service center just they will tell service engineer will reach and also no one will reach for install even after 72 hrs . As their committed is not happening . Even service engineer also cutting phone he also not respond anything.",Poor installation service by sasmung service,B07F1SKCZ2
Tv stand not came,Tv stand not came,B07F1SKCZ2
Good to have this product really its costed too cheap and got this with extended warranty thank you for this product,5 star to this product,B07F1SKCZ2
Picture is flickering on day fifth of delivery.,Worst product... don't buy it,B07F1SKCZ2
Picture quality is very good 9/10. Sound is good 7/10. Overall its a very good product.,Best product in this price range,B07F1SKCZ2
The value of money is zero here.Amazon company didn't satisfying the costumer request. I want to return this product but they r telling Amazon policy.If I don't like and satiied with product then I can return it na? But the refuse everything.nither replacement nor return.,No value of money,B07F1SKCZ2
Second hand TV,Second hand TV,B07F1SKCZ2
Picture quality isn’t good as sony. Something is wrong with picture contrast how many times you try set a good contrast it doesn’t change a bit.,Not as good as sony,B07F1SKCZ2
need to have hd box with hd channel packs.also hdmi cabel can make picture quality good,hd tv .,B07F1SKCZ2
"Suddenly Sound not working while watching the tv, after switch off and on then also not working and not finding proper technical support also",Suddenly Sound not working,B07F1SKCZ2
After all Samsung product and rationality priced. Good picture and sound.,After all Samsung Product,B07F1SKCZ2
Awesome HD quality as samsung is leader in screens manufacturing nd amazon delivery price service everything awesome.thnks amazon,very excellent panel,B07F1SKCZ2
i think it will spoil the name of samsung. we expect good picture quality. but i am not satisfied with even HD mode also. samsung pls don't send this type low quality product to market,worst picture quality even in HD mode,B07F1SKCZ2
Awesome as usual... samsung in its class.. i got this Rs 13500.. just bold deal..,Mindblowing purchase @13500,B07F1SKCZ2
The Samsung product didn't let me down.Great quality and appreciable installation time taken by Samsung for the same.,As expected,B07F1SKCZ2
I brought this on 17th October few days back the tv was turn off automatically and then it on again 😡,Don't buy it,B07F1SKCZ2
Sound quality not so good. But its an amazing tv at this price point.,Love the picture quality,B07F1SKCZ2
"Great price, excellent performance, delivered intact and installed within stipulated time",Samsung 32 HD TV,B07F1SKCZ2
Nice... value for money.. Samsung always ultimate... ( t.v fixing problem purchas corner stand but Samsung person not fixing I really upset... plz Amazon request fix stand..),Installation problem,B07F1SKCZ2
"A good TV to buy in this price.Picture quality is good but not great, but sound quality is above normal expectations. One should buy this one for getting value for money.Service of Samsung is excellent.",Value buying but not much expectation,B07F1SKCZ2
"Product is very good , good sound quality,good picture quality, and good value for money. I lIke the product",Product is Good,B07F1SKCZ2
Worst product not even think to buy this. Horrible mistake made by me to buy this product from Amazon. Sound is unimaginable poor. Amazon is fooling its customers and also no body from Amazon to help.,Warning: Just don't buy,B07F1SKCZ2
Picture quality not good sound is very poor if compromise who wants just a big tv they can go for it . Most of the popular video formats this tv doesn’t support only mp4 it supports,Not as per expected,B07F1SKCZ2
Wall mount not received in Package.,Wall.mount not received,B07F1SKCZ2
"This TV picture clarify wise awesome.... only thing is sound is very low,you have to put additional speakers",Nice TV on this price,B07F1SKCZ2
Picture quality is depends upon cable connection .Small draw back is sound in TV sound is low,Good Tv,B07F1SKCZ2
better Sound quality expected,Good,B07F1SKCZ2
Just choose it if you want basic model,Very basic model,B07F1SKCZ2
Needs improvement in sound system. It doesn't enhance along with sound of TV service provider,Needs improvement in sound,B07F1SKCZ2
