reviews_text,reviews_header,Asin
Worrest brand I never sea this type of company persons like Micromax no one not respond for installation and tv is automatically disply offed IAM given compliance but NO one not respond. I want to go consumer court Up on Micromax,Worrest brand worrest responce,B07GBDVNVJ
I was lil bit confuse many people saying don't buy online they will give you demo piece hang on showrooms but I hd got a fresh piece and it is sep2018 latest manufactured. Same day installation again best support from team micromax. And finally I got ₹3000 less from market.,Again best product from Amazon.,B07GBDVNVJ
Damaged product,Damaged product received,B07GBDVNVJ
"Product Quality is very good and also sound quality is good, In this price no body can give same type of products. And Good things after delivery next day morning installation done by Micromax service center without any follow up. Amazon services and Micromax services are Amazing.",Excellent Product and excellent services.,B07GBDVNVJ
TV is not working. Booked for service on the same day. No one attend for service still now. Even it's couldtail product from Amazon the response from Amazon is very poor. From Micromax is very very poor response. Please avoid buying.,Don't buy in couldtail and Micromax,B07GBDVNVJ
The best product under 15k. HD quality and SRS sound system makes it a trademark to purchase. Lastly you have the realiablity to purchase from Amazon who was quick in delivery and the product installation.,A worth to purchase,B07GBDVNVJ
"Picture quality is very bad. Playing HD and full HD video like 240p video. This is a assembled tv same design, same feature.",Picture quality is bad.,B07GBDVNVJ
Awesome...,Splendid product !!!,B07GBDVNVJ
"More than 72 hrs have gone to delivery of television, and no one has come to install in spite of a reminder. The product itself is very good.",Install,B07GBDVNVJ
"Product was delivered on Sunday 11th and up til now no one has come or even called for installation! This inspite of calling Micromax 3 times and Amazon customer service twice! If there is no response from Micromax by tomorrow (17th) I would like to return the product. First one installation number was generated - which was cancelled by Micromax for unknown reasons, then after repeated follow up a second installation number was generated, but I still have to receive a call from the service technician or the service center. As mentioned above, I will wait only till the 17th. If there is still no response, I will return the TV.",No response from Micromax,B07GBDVNVJ
Picture quality is good Sound quality is as expected Disappointed only because it doesn't support external pen drive none of the formats Can't use without cable connection Can use with cpu as it is smart tv One who is looking for advanced options should not go for it,Durable product,B07GBDVNVJ
This t.v is restart allways automatically.Hang prblm also.,Not up to the mark,B07GBDVNVJ
Very bad product...don't buy....,Suraj samanta,B07GBDVNVJ
we have purchase Micromax LED TV 32P8361HD (Black) (2018 Model) through Amazon dated 01/01/2019 but we have facing display problem (Automatically on off) after few days. Request you to kindly look into the matter.,Display Porblem,B07GBDVNVJ
Best LED TV . if you are looking for a new tv you must buy it.,No.1 TV 5 stars,B07GBDVNVJ
No one came for installation and TV remote not working,Poor Installation service,B07GBDVNVJ
Awesome.. Only difficulty I am facing is with setting up google assistant and typing in search bar.. Rest all fine. Meeting up all requirements. Good clarity and sound.. The remote doesn't have a mic. We can use mobile app to use Google assistant..,Awesome,B07GBDVNVJ
Like,Picture quality good,B07GBDVNVJ
"Superb product, delivery on time and installation same day in 4-5 hours of delivery. I also have one more micromax tv which is working fyn for last 5 years.",Great product,B07GBDVNVJ
"I do not see NETFLIX options in TV,what appears while buying th product that netflix hotstar youtube will be there..and i dnt see the netflix options..I can never trust this brand please give what u promise..& what do you display on tv screen..Pls stop cheating customer and mentioned it clearly IT DOESNT SUPPORTS NETFLIX & AMAZON PRIME",Netflix options is visible on Tv screen display netflix doesnt support in reality,B07GBDVNVJ
Useless product .MIcromax installation services are pathetic with the agents unaware/ untrained about installation and providing demo . utter waste of money,Useless Product,B07GBDVNVJ
Very nice product with all latest technology,SUPERB PRODUCT EVER IN THIS PRICE,B07GBDVNVJ
Defective... Money waste.. Time waste... Amazon should check the genuine products for its buyers otherwise other sites are also available.,Worst product,B07GBDVNVJ
Very committed service from micromax. installed within 24 hours.,more value for money,B07GBDVNVJ
Picture and sound quality are very good . In this price no body can give same product with similar features . Installed by Micromax service center without any follow up.Amazon and Micromax service are Amazing.,Good product,B07GBDVNVJ
Sound quality is not a good and Bluetooth speaker is not working properly 😡 and picture is very very badly poor.. Plzz my order return kro.,Return order kijiye mera.nhi to me company ko case KR dunga,B07GBDVNVJ
"Micromax delievering value for money TV. This is awesome Picture quality TV with easy to use. Some issues in using Sony LIV and if we abruptly close while using USB for playing media files then it gives some hang issue in opening afterwards. Rest i am highly satisfied with overall performance,",Value for Money.,B07GBDVNVJ
third class delivered damage product dont buy this tv,third class,B07GBDVNVJ
"Zero star. Very bad product. Net flix is not compatable firstly and if you are buying the tv for the Google assistant don't bother, it won't work. They will not provide a remote with voice feature so Google assistant is non functional. And after they take your money when you find out this tv is nothing like the discription. THEY WONT EVER RETURN IT. BUY AN MI TV FOR THE SAME PRIZE THEY HAVE GOOGLE ASSISTANT COMPATABLE REMOTE. That you don't have to buy separately. Hopefully one day someone takes this issue to the consumer forum. Till then heed this warning everyone.",Misrepresentation and fraud,B07GBDVNVJ
I suggest on basis of my experience that buying micromax product is nothing but fool and waste of your money. It's service is so poor,Very poor service and quality,B07GBDVNVJ
I found it value for money. If the picture quality of network is not up to mark even the UHD or any high end TV can not deliver the result. So this basic model with excellent picture quality and color shades was chosen for my location. it had delivered more than what was expected from it. 10 on 10 to this product.,Good Product at very resonable price,B07GBDVNVJ
Ek dum bakwas dont go for thise .once product is reacht no responce frm anny one. Usb not working .phone lagao to sab sun pate hai problem batane par sir aap ki awaaj nahi arahi . Sab ke sab ahi bolte hai,Chore hai salle sab ke sab,B07GBDVNVJ
I was looking out for smart TV when I found Micromax smart TV I did few research on others search engine and went forward to purchase this product after purchasing this product I have been using this for the past 2 months and I am completely satisfied with this TV but the only problem is there is no Netflix available on this,Super smart TV,B07GBDVNVJ
"TV came in nice and fine but the technician never turned up, called him over 15 times and he kept turn up with reasons....finally lost hope and called a local technician to set it at an added cost also the voice search function isn't pretty much in place...a call from Micromax will be much appreciated",Very Bad Customer Service,B07GBDVNVJ
