reviews_text,reviews_header,Asin
"Good Picture clarity Audio, similar to other TV sound. Mobile Screen casting works perfectly, just go to tv settings and select WiFi display. Install a third party screen cast app from playstore. Laptop screen sharing also works perfectly with Windows 10 built-in Wi-fi display options . You can cast Browser is present but with remote it's a nightmare. 3 hdmi. Presently using Xbox and no lag. WiFi speed is great, Netflix full hd plays perfectly. Good value for money",Good TV but not so smart,B07GT2P8ST
"Hi, I faced lots of issues for this tv, bought on 23 jan 2019, installed after 200 times call to TCL on 28th jan and get these issues on 10th jan, First after youtube 30-40 mins continous watch it'll throw service declined message and viewing halt, then remote power button not work where all other buttons work, i checked in my mobile thru T-cast, same issue, thus confirmed taht this is not remote issue, rather s/w issue, then on 15th Feb power ON issue, TV not working, and stopped on 15th Feb night, thats all. amazon request you to take this back, and process return.",made a mistake buying TCL TV,B07GT2P8ST
Tv is good and it on time delivery. I am unable to connet with my phonela because my phone nokia 6 doesn't have a wireless display. So how can i connect the tv,Nokia 6 connecting problem,B07GT2P8ST
"We purchased the TV on 22 July 2019, The installation was done on the same day of delivery. The demo was also done and everything was fine. But there appeared a broken display at the top of the screen. I have attached a snapshot of the same. Didn't expect such an issue with TCL. Also the picture quality is much below expectations. Expecting a quick fix for the issue or a replacement of the product from TCL.",Broken display lines appearing at the top,B07GT2P8ST
It’s worst for installation don’t buy this product it to take for installation,Don’t buy plzzz,B07GT2P8ST
This TV is definitely worth the price. Internet connectivity is smooth and handy. I have been watching enjoying NETFLIX and Prime past 1 month and it goes without a glitch. If you are willing to go for a smart TV but don't wish to spend extravagant money then this TV should definitely be your first choice. Kindly don't consider all negative reviewers for this product as they are nothing but spammers.,Best Smart TV for the best price,B07GT2P8ST
Hello I use this product from last 8 days All picture & sound quality is good but other smart TV features r worst when I play slide show of my camera click photo it take inrerval between two photos more than 10 to 12 second and another when u mirror u r phone to TV it doesn't work properly it has same dely problem & screen display with small patches after all patch settle then clear picture appears it is very disappointing Over all think before you buy this product,*stop read before you buy*,B07GT2P8ST
We were told that someone from TCL company would come for the installation of the TV but now after 2 weeks also no one has turned up...He told us clearly that if we try to install then product warranty is cancelled. Now we have TV at our premises but no one has called for installation and we can not install...what to do? Is this a dead investment? who will help us?,TCL indifference,B07GT2P8ST
"Good TV with smart feachers. Sound quality should be improved, and the picture quality is average. I give 1 star because I installed the TV myself. I called TCL service center 7-8 time then an installation request could be registered. The installation was not done after 9 days of delivery so I desired to install it myself, because the next day the return period would be over.!",Average quality and the MOST poor services...,B07GT2P8ST
"I use amazon fire tv stick, dolby digital plus sound is good using soundbar, linux os is very poor, missing google play store, Hdmi arc is there and also optical is available, cons are picture is washed or faded, and wattage is 70 watts","Picture looks washed out, ports are plenty and dolby digital plus and hdmi arc are positives.",B07GT2P8ST
"Good build quality and vibrant colour screen. Delivered and wall mounted by Amazon guys in time as per schedule. The colors stand out very good for animation movies but dark backgrounds in horror movies show up poorly pixelated. For price of 18k its definitely value for money. Sound quality isn't that great, need to keep volume very high to understand dialogues. The tcl app store doesn't have much great apps, but Netflix and youtube are my only need so it's pretty much covered.",It has both Netflix for me and youtube for my kid,B07GT2P8ST
I found the color spread on very first day of purchase. I have requested for replacement of my TV but it was not agreed upon by the company. The colour spread was however not shown after first day but I am worried about the quality of LED pannel..,Do not buy cosily items from AmaZonzon..,B07GT2P8ST
Display quality is very poor.Delivey service is unexpectable.,Poor,B07GT2P8ST
"Not Happy with the product which got delivered, sound quality is not good. There is problem in the speakers, it's buzzing and bursting.",Speaker problem,B07GT2P8ST
"No one came from the TCL Company to install the TV. Even though I made complaint to the TCL customer care, no one came to install the TV.",Installation facility no good,B07GT2P8ST
Warost picture quality no meracast waste of money no bluetooth over all 1/5 rating better go for Thomson b9pro,No vga port,B07GT2P8ST
"I ordered TV Amazon and received it after 3 days only, quick service from Amazon. Higly recommended for TCL. Great Smart TV value for money. TCL brand is big brand like samsung and LG but issue with service centre is not good in north india. We struggle 5 days to get TV installation. However Amazon is very prompt and support for any issue. Service engineer has payment issue with TCL/Amazon that’s why they don’t act quickly. Service must be improve ASAP in Bihar and UP. Note: For TCL TV warranty, It is compulsory that TCL or Amazon authorised person will do TV installation. Avinash singh Ramgarh Bihar",Great Smart TV value for money.,B07GT2P8ST
"The tv is really good and the quality is best in class for the price range. BUT THERE WERE TWO GUYS WHO CAME TO INSTALL THE TV SET ONE FROM THE AMAZON AND OTHER FROM THE TCL COMPANY ITSELF. EACH OF THEM CAME IN DIFFERENT DAYS. THE GUY WHO CAME FROM TCL WAS DRUNK AF, AND HE DEMANDED MONEY FOR THE INSTALLATION WHICH SHOULD BE FREE OF COURSE (WHICH WAS LATER GIVEN TO AVOID CONVERSATION WITH THAT DRUNKER) Hope the company takes care of this kind of stuff or else it will soon lose some genuine costumers like me who thinks to promote the quilaty product. One thing, that situation would be dangerous if there were no support for the women in my house. So please take care of this incident and hope you put an enquiry on him.",Very bad service,B07GT2P8ST
Technician for fitting and installation doesnot came.,Installation,B07GT2P8ST
I want to return this order,Not good,B07GT2P8ST
"No return policy in many cases. External apps not working. ""No smart features"". Worst customer services/support.","External apps not working. ""No smart features""",B07GT2P8ST
It is advised not to buy the TCL product. No installation was done by the TCL even When it was reminded few times. Amazon called twice to check whether it was installed and lately even the installation window is now closed without any installation.,No Installation service DIY,B07GT2P8ST
My LED got delivered on 14th April but till 17th April the installation is not done & whenever I try call TCL I did not get a satisfactory answer so I suggest to amazon & to all not to go with this product.,Wrost service by TCL,B07GT2P8ST
The product who are all buying please check wheather everything are inside before signing your order receiving letter because I’ve signed and once I open the box there is no remote no tv stand and warranty card and up to day I haven’t received even tough complained lots of time. Now I have to purchase it for my own and waste of money for that.,Missing parts. Check once you receive it before you sign,B07GT2P8ST
"Picture quality is very very good Installation very easy... Features app very smoothly another tv, Sounds very interesting, All-over TCL tv best smart TV FEELING. WATCHING BIG CENIMA👍",TCL smart TV is a miracle...and number 1 quality ...full HD all over very good👌👌👌👌👌👌👌👌,B07GT2P8ST
Good product with good delivery time I have 32inches Now I got 40 it’s a good price,Good product,B07GT2P8ST
"don't buy this in confusion that this is a smart tv, you install any app from playstore and important appa are not there... only Netflix is there and you cant install any other app by any possible way. so don't go for it as smart tv. if you want buy a normal tv then its fine but as smart tv its waste.",Waste of money....!!!,B07GT2P8ST
