reviews_text,reviews_header,Asin
Good Products. Pictures quality are awesome. Sound is good Dolby audio. and connectivity better than mi tv. We have not found any problem using after 1 month+,Tv is Awesome for pictures quality. Value for money,B07GTD1LHY
3 week ago I brought this tv and with in one week tv giving the problem of volume so I replace and brought again same but 2nd time also it's showing same problem.,Volume issue,B07GTD1LHY
Nice response ... But ... Who set the TV.. (contact number),Good,B07GTD1LHY
I have received product on time 18 June 2019.... After that installation person not at all contacting ... TCL service number also not working .... Highly dissatisfied with the service of Amazon and TCL ...I need to return this product no other options....,Don't buy - No installation unnecessary money waste,B07GTD1LHY
A perfect full hd tv with great viewing angle worth the price with complete android experience with all app available,Worth every single penny (FULL PAISA WASOOL),B07GTD1LHY
I received a different or damage product...,Damage product,B07GTD1LHY
"It's simply the best smart TV based on Android. Its very easy to use, remote is ergonomically designed, has few buttons with voice command built into it. Screen is fabulous and crisp, does justice to 1080p content on YouTube or hd on Netflix. One thing which is not par is sound quality. Primary sounds/ vocals are loud and clear but secondary backgrounds are lacking, you have to increase the volume but that reduce the over all experience. I recommend a separate Bluetooth/aux speaker with it for cinematic experience.",A great smart TV for it's price point.,B07GTD1LHY
I purchased this for my retired parents as a replacement for their 5+ year old Lyod LCD nd after using it for first time I believe the old TV was much better. I have a another Micromax led tv as well which is 10x better picture quality. I had convinced them that TVs are standard and can be bought online without any issues. But for the first time I accept their view. NEVER BUY A TV ONLINE. I Assumed this is a certified android TV from worlds acclaimed 2nd largest selling brand but the TV is horrible. The picture is soo rich in Color we have not switched it on after the first attempt. The picture even HD is grainy and dull. No amount of settings helped with improving it. Called up Amazom for return and they reminded me that I haven't gone thru their policy and TVs can be only returned after an inspection report. WHAT ARE THEIR TECHNCIIANS GOING TO INSPECT? OR RATHER WHAT ARE THEY GOING TO COMPARE WITH ? PLEASE AVOID THIS BRAND OR BUYING TV ONLINE.,Horrible picture quality.,B07GTD1LHY
Absolutely loved the price and the features. Picture quality is good and so are the smart features.,Awesome purchase,B07GTD1LHY
Finding problem with this product. Needed service support . Tv is switching off automatically and remote not working at this time to switch on. Same issue is audio sound also. Request support to solve the issue,Tv automatically switching off fequently,B07GTD1LHY
Tv is automatically switching off after some time and volume is also going to mute,TV has the issues,B07GTD1LHY
Never trusted a non brand appliance unless I bought this TCL Full HD Android TV on my friend's recommendation... It's worth every penny spent... Highly recommended and will definitely opt for other TCL appliances in future too...,Worth every penny,B07GTD1LHY
"Worked perfect for a month. The issues started with freezing every now and then, automatically turning off, bluetooth not working. Worst sound quality. You will need a pair of speakers to understand even the simple words. Bluetooth doesn't have the option to disconnect or reconnect with the paired devices. You will have to unpair and pair everytime. Now about chromecast: It will take atleast an hour to connect. In last 3 months I have been able to connect just once. The signals are weak and unstable. Customer service: Everytime you call the toll free it will land on sales team, they will arrange a follow up from the tech team, and that follow up call never came. Tried to contact amazon about the same issue, didnt help either. Conclusion: It looks fancy and cost effective but its a scrap. DO NOT BUY.",1 month USE only,B07GTD1LHY
So far so good.... Used the item for approx 1 month so satisfied with TCL smart tv.. so ordered one more for my frnd as gift. But only conc. is TCL service team they never respond. I expect this to be installed in 24 hrs but it took almost 3rd day it was get installed at my place.(NOIDA). Sport from that product is so good.TCL has to improve CX service quality.,Product awesome but service average.need improvement.,B07GTD1LHY
"Smart volume doesn't work. Voice search is not working. Try to complaint to TCL, they are very smart to handle the customer. They won't attend customer call keep says its busy. if we went to fill a complaint online their application mandatory field ""Date Purchased"" wont allow to fill the date and can not complaint. Finally we cant complaint either through call or web. Nice tricks. Also amazon just throws the ball to the customer face saying contact TCL customer care. TCL is worst in customer service.",TCL is worst in customer service,B07GTD1LHY
"Pleasantly surprised with the whole experience and the product, first time I've ordered a somewhat large appliance, took a while to have it delivered but I guess with the Amazon sale it would have taken that little extra time. Package arrived with no visible damages to the box, setup was done a couple of days later after contacting the company. TV works great but the sound could be a little better.",Great deal,B07GTD1LHY
Limited app only... We cannot install amazon prime or airtel tv.... Somethime... You will get only sound no pictures. You need to restart to get the picture.,Average product better then MI tv,B07GTD1LHY
"I am using this TV since 2 months from now, I do not see any problem. The picture quality and sound quality is really good. Some times the TV responds bit slowly when we are switching from one app to the other app. I feel that the lag is not that a big problem. Cast option and its connectivity is very fast and happens quickly. Usb ports also has a quick response with respect to pendrive or external HDD.",Value for Money,B07GTD1LHY
"At first TV was working fine, after 3-4 days it got started hanging. Google Assistant was not working. Unable to install Amazon prime and other stuff. Tried to return the TV but they did agree, they told they have some policy that not to take back. I scold them badly and explained them the whole issues. Finally they took back. Please don't go with this TV",TV is hanging too badlyy,B07GTD1LHY
The os is very slow...the remote has a lag...and it takes a lot of time to boot up... The picture quality and sound is excellent..gives what it says For the os...i finally had to buy an amazon firestick...,Fair enough,B07GTD1LHY
"I use this TV for internet purposes. First of all its takes too long to start since beginning and now when I press the menu button it now again takes lot of time. It is barely after 1 week of use. The product is too slow. As far as voice recognition is concerned, you have to sit near to the television otherwise it won't work. So I strongly recommend not to use this product.",Puneet Bansal,B07GTD1LHY
"BEST PRODUCT EVER. WE PURCHASE TCL 49"" ANDROID TV IN VERY LOW COST ON AMAZONE AND WE CONFUSED ABOUT COST COZ ANOTHER COMPANY SAME PRODUCT IS AROUND 100K LIKE SONY, VIDEOCON BUT TCL COST IS ONLY AROUND 30K BUT LAST 2 MONTHS WE OPERATING THIS TV AND WE ARE FULLY SATISFIED WITH THIS PRODUCT.. BEST PICTURE QUALITY HD AND ALSO ANDROID OPERATING NICELY...BEFORE THIS PRODUCT I HAVE SONY BRAVIA 42"" BUT NO DIFFERENCE IN PICTURE QUALITY...",EXCELLENT PRODUCT TCL,B07GTD1LHY
Such a pathetic product plz dont buy. My honest review plz dont waste ur hard earned money on this . Got it in emi for 6 month . 7 th month full board got burnt and stopped working. Thankfully no damages happened to my family . Worst part is even its under warrenty they are not providing warrenty and giving lame reasons. Plz dont buy tcl .,Worst product . M common citizen who lost money wchich i earn with lots of effort,B07GTD1LHY
It's not at all fake review The tv is really amazing.. The picture quality Is amazing and and compare to other smart TV . Tcl is more faster.. I never expected it tcl is such a good company,Best smart TV compared to mi tv and croma,B07GTD1LHY
"Picture quality is very good in HD channels, & support with wifi is also good. Over all e everything is fine.",Value of money,B07GTD1LHY
"A whole package of a Google Smart TV in the cheapest possible amount in the market, hands down a worthy buy.",UNDOUBTEDLY WORTH EVERY PENNY!,B07GTD1LHY
Worst product. I brought the TV 2 months back and now the panel is not working. Screen showing blue and technician told me that the panel need to be replaced. Not sure why the panel is faulty for a new LED TV. Not sure if the new panel will be new or repaired. Very bad experience,Faulty Panel,B07GTD1LHY
My TV has switched off automatically and remot r not working please change this Product,TV is not working,B07GTD1LHY
"Thanks amazon for timely delivery. TCL Product is good. One thing which I experienced was no installation team arrived. Though I install it myself as it’s all mentioned in manual, but still commitment is commitment, must adhere.",Good product..,B07GTD1LHY
"Sir, This product is faulty. Pls change",Faulty product don't buy..,B07GTD1LHY
The tv is very good and outstanding performance and sound system is also good but installation people was not came i have installed my tv by me,Outstanding performance,B07GTD1LHY
"This smart tv is good that's I've thought and the features kinda ok but audio and video quality is better than i thought this smart tv better then mi smart tv, samsung smart tv & the other smart TVs.",TCL Smart Tv is nicer then i thought,B07GTD1LHY
This tv is good because in this range aal smart feature are included and performance is excellent,Quality is good,B07GTD1LHY
"Good but this unit goes standby mode automaticaly after certain time gap .ie 5hrs,4hrs please arrange some technicians to correct it.",Automatic standby mode,B07GTD1LHY
Amazing product. Thank your Amazon for our dreams come true.,Nice product,B07GTD1LHY
The picture quality is beautiful since I'm working it on internet connection sometimes it gets to be blurry but should look crisp with cable or dth!,Value for money,B07GTD1LHY
Picture quality is very good. sound is perfect. Smart future is very good. Remote voice search is excellent.connectivity is perfect. There is no any issue. Thanks amozon,Excellent product in good price.,B07GTD1LHY
This product is not good I brought it after next day sound problem create totally bad item I never like this product I suggest don’t by this particular product . No any response from amazon to take return very worst,Not good,B07GTD1LHY
There is audio problem with this tv. The sound is blank any time.. then you must have to restart the tv after that the audio will work. The problem is occurring 3-4 times in a day. Think once before purchase.,The sound quality is poor.,B07GTD1LHY
Os is very very slow n glitch. Wen caled tech team they replaced circuit board. But still problem exist. If called they Don respond at Al. Waiting more than 20days. Hate tcl.,Epic failure,B07GTD1LHY
"Needs to power off and poweron each time to open channel. Even though WIFI strength is good, this is the case",Connectivity,B07GTD1LHY
Picture quality not a good,Tv is not working,B07GTD1LHY
Ok,Ok,B07GTD1LHY
All good except voice recognition is not working,Voice recognition is not working,B07GTD1LHY
Good Product....,GOOD PRODUCT,B07GTD1LHY
No mobile mirroring,No mobile mirroring,B07GTD1LHY
Plz don't buy customer service is not responsible .. of TCL picture in Av is smaller size .. not good for family ..,Plz don't buy,B07GTD1LHY
It is TCL but when we search for wifi or bluetooth signal name is different.,TCL,B07GTD1LHY
Low price and good quality 👍,Good quality,B07GTD1LHY
Wonderful value for money,Nice,B07GTD1LHY
Good picture quality,Worthy,B07GTD1LHY
NICE SMAR TV WITH LOW PRICE WITH BLUETOOTH. WE CAN CONNECT HOME THEATERS WITH BLUETOOT FEATURES.,NICE SMAR TV WITH LOW PRICE WITH BLUETOOTH FACILITY,B07GTD1LHY
Wow !!! Awesome experience to watch seated from any angle! Happy to own it !,Wow,B07GTD1LHY
