reviews_text,reviews_header,Asin
Manufacturing damage,Damage tv,B07H7WPV7D
No fake review.. Since it is electronic things so maybe the response will be vary but I had purchased it during Great Diwali sale and having 10% cashback with 10% HDFC discount. As usual the Amazon delivery is on time as scheduled. The greatest achievement is on same day within 6 hrs it has been installed even though it was Sunday. Such fast action I never expected.. really awesome. Now see how the TV works in future but until now it working well and it is beyond Value for Money. Thanks Amazon and Thanks Sanyo/Panasonic.,Excellent LED TV in this price.,B07H7WPV7D
"This TV is brilliant value for money, you get 720p, IPS Panel, LED, 16 watts sound, good viewing angles (for my use it’s perfect), picture quality and colours are good and the installation request and suppprt is being handled by Panasonic so that’s good too. I bought this TV recently and for moderate everyday use this is fine, but if you want gaming experience and use it as a HD monitor I don’t think you’d be happy better buy a full HD tv. Good work Sanyo 👍👍👍",Brilliant VFM Product,B07H7WPV7D
"Late delivery by Amazon, but since I wasn’t in a hurry, it was okay.. now to the tv - very good picture quality, the service by Sanyo (Panasonic) is also amazing.. the sound quality is decent.. if one needs a good tv from a reliable brand at a decent price, this is it..","Good brand, good tv",B07H7WPV7D
It is fantastic superb performance at a such unimaginable low price in market that too japan make with scheduled delivery and thereafter within four hrs installed,"SANYO 32"" LED TV",B07H7WPV7D
"Well at this price point, and with the quality of the picture, I find it one the best TV today while not comparing to Sony. The factor also comes along with Panasonic backing it up and the use of A+ panel, its value for money and the others products with the similar price points did not come anywhere near this one. I have 43 inches Full HD earlier purchased two months back and considering its performance I had ordered it on 7th DEC 18, not surprising to me, this is a good TV and response is brilliant. All good to go on this one.",Find it impressive - Sanyo rocks.,B07H7WPV7D
Good product .only basic model no additional features but value for money,Good product,B07H7WPV7D
Picture quality is good and sound average. Product value for money,PICTURE QUALITY GOOD,B07H7WPV7D
Second Sanyo for us. Good features.,Excellent product for its price,B07H7WPV7D
I was in search of a good branded TV in and around 10k for my friend. Bought this 720p HD led tv during the republic day sale for Rs.9700 after hdfc debit card cashback offer. Only the default picture quality is washed out.we can tune the picture quality and can get the best out of it. I did the same and I'm happy with the product overall at this price.,Worth the price,B07H7WPV7D
"Nice, can buy.",NIce product,B07H7WPV7D
"Value money, very good picture quality and saund, compare to other brand...It is very good recommend",Very good,B07H7WPV7D
Nice tv value for money,Led,B07H7WPV7D
Nice products,Service is very good,B07H7WPV7D
Very good picture quality and value for money,Superb must buy it It is Panasonic matafactur so buy it,B07H7WPV7D
"Just awesome product,its my second purchase of Sanyo tv of Panasonic. Picture quality is just awesome. Sound also good as compared to other brands. Build quality of material also good.","Best led tv for longtime use,Just go For it.",B07H7WPV7D
Latest product delivered,Value for money very much,B07H7WPV7D
I have fully satisfied this product,Value of money,B07H7WPV7D
Good Tv for personal use .,Good for personal use.,B07H7WPV7D
Bought TV after looking all the reviews. Happy with it picture and sound quality.,Value for money.,B07H7WPV7D
"Sound is not upto Mark... built quality, picture quality are good",Product is Good..sound quality needs to be improved,B07H7WPV7D
nice product but wall mount instrument short provide and screw short.,good product,B07H7WPV7D
"This is a good tv under this price range. Dont get confused, Go for it",Good TV,B07H7WPV7D
Got this product for around 7.5k with exchange and discounts and this product has been working perfectly. Sound quality and picture quality are as expected as of a normal HD TV. No issues observed. Installation done the next day . Very happy with this product and serves the purpose very well. Update after 6 months : no issues observed so far - works perfectly well,Great product,B07H7WPV7D
Just bought this TV..the installation guys came and tried to sell stabilizier and a liquid to clean the TV totally worth 2700rs..Does it happens normally and recommended to buy? Never bought a stabilizier for TV in my life and the last TV went around11 years without repairs.. Apart from that service from amazon is always awesome and nothing to complain about product..go for it.,Good one,B07H7WPV7D
Just amazing. Video quality amazing. Sound amazing. Amazon service amazing.. go for it .. I just love it .. thanku sanyo and thanku amazon,Fantastically awesome and amazing,B07H7WPV7D
"Hey Guys, I would certainly like to recommend this to all prospective buyers who looking for additional set of TV for game zone of their kids or a private viewing facility for their elderly parents.",Full Value for your Money,B07H7WPV7D
1. Picture quality - much more than decent at this price 2. Sound quality - good 3. Installation service - good,Value for money,B07H7WPV7D
"Amazing product which i have got in its low price. Can't bleave this product i have purchased in this price every member of my faimly likes it and also its very good in picture quality,sound quality is good. Now i can play on it my own world of music picture as i want...again superb. Product deadly price compaire to any online shopping hub.","Happy to purchase Sanyo TV 32"" HD ready TV",B07H7WPV7D
"Picture quality is good , though not the best. SOUND QUALITY IS THE BEST. DURABILITY CAN BE COMMENTED LATER ONLY.",Worth purchasing,B07H7WPV7D
"Japanese technology, made in India, quite affordable price. What else do we need. Why to pay for over priced brands like SON* or SA****G.?",Excellent TV at this price,B07H7WPV7D
Great product. Worth every penny,Great,B07H7WPV7D
"Good Picture. Vivid colours. Sound acceptable, but if rich sound is desired, a sound system is needed. Compact and several HDMI ports. I needed a TV at a low price with good performance: I got it. would order it again without hesitation.",Can't beat this deal at the price offered.,B07H7WPV7D
Good,Good,B07H7WPV7D
Been using it for more than a year and half. Picture clarity is superb and we use it mostly on Amazon Firestick. Sound is slightly lower but overall a great product by Sanyo,Good value for price,B07H7WPV7D
Bought on sale and used for 6+ months. It works fine. Satisfied with sound and picture quality.,Value for money!,B07H7WPV7D
The day it was installed. There was no sound no support till now,need good support after sales. some time products are defective.,B07H7WPV7D
In this attractive price I found very good product I am watching from last april and we all are very happy,In this attractive price I found very good product I am watching from last april and we ...,B07H7WPV7D
"Very good product. Worth for money. Excellent support from Panasonic for installation as Sanyo is now Panasonic branding in India.Go for this product compared to LG, Samsung, Sony",Worthy Product from Japan brand,B07H7WPV7D
Overall nice built...work well..customer support nice But... Go for full hd,Nice product,B07H7WPV7D
Good product fine vision 100% worth for pricing,Good and worth price,B07H7WPV7D
I have been watching this TV for 2 months and it is truly value for money. The picture quality and the sound is great and I don't think there could be a better product for this price.,Value for money,B07H7WPV7D
Works excellent so far after six months,Works excellent so far after six months,B07H7WPV7D
Got it for Rs 11700 in offer time... Delivered safely in just 2 days...luks good...best u can get in this price...happy with d product!!! I Trusted the reliability of product as it is panasonic sub brand and Japanese Technology!!!,Good one!!!,B07H7WPV7D
I brought this for my Grand ma She is very happy with it. It has recent picture quality.,Decent tv,B07H7WPV7D
I can comment only that purchase it to close eyes.. No issues everything is great.,Buy it excellent quality and size with comfort price.,B07H7WPV7D
"Great picture quality, reasonable sound. A fantastic buy for the price.",Great picture quality.,B07H7WPV7D
Good,Super,B07H7WPV7D
"good product, Picture quality super and Sound quality nice",good product,B07H7WPV7D
Everything thing is very good,Everything thing is very good,B07H7WPV7D
Can be considered best within this price range.,Best within this price range ...,B07H7WPV7D
"Purchased this TV on 12th Oct 2018 to replace a 5 years old LG LCD TV. It was installed immediately after receiving the product in good shape. The picture quality is not vibrant like those in Samsung or Sony. Similarly, sound quality is also average and not enough to make an impact. The USB menu settings are very primitive. Unfortunately, within 1.5 months of use the TV has developed a fault that the speakers stop working after 15mins -1 hrs. No amount of fiddling with the settings will bring back the sound. You have to switch it off for 1 hrs to get the speakers working again. Have emailed Sanyo helpline today and is waiting for them to come and investigate.!",Faulty within just 1.5 months.,B07H7WPV7D
"The product is perhaps better but same couldn't be installed instead of your advise on 16/03/2019 to Pasonic service centre to install within 48 hours after receipt of Sanyo LED TV. Till date i.e.25/03/2019 after receipt of TV on 18/03/2019 couldn't be installed after so many request to Panasonic service center at Bhubaneswar, Odisha. Finally, the service center took initiative to install on 26/03/2019 n picture,sound is better than other LED TV.",Service Quality of Sanyo LED TV,B07H7WPV7D
Best u can get in this price . Made full use of amazon sale . Cheers,Good product,B07H7WPV7D
super,good quality and price,B07H7WPV7D
This is a good product from sanyo and i received on time delivery from Amazon. Installed same day.,Excellent,B07H7WPV7D
Slim and Power Efficient.,Value for Money,B07H7WPV7D
Installation done successfully,Installation done,B07H7WPV7D
use this as a monitor for CCTV cameras.. nice size to fit multiple screens..,sturdy,B07H7WPV7D
Excellent picture quality better than Samsung and average sound.,Good tv,B07H7WPV7D
Best low cost product.,Excellent,B07H7WPV7D
In this price 32 inch TV is very good,Good TV,B07H7WPV7D
Nice 👌 😊,Thank you,B07H7WPV7D
"Ohh, it's a awesome product. Using last three years without a single trouble. Great picture quality. Very much profitable. Better than any big companies product.",Awesome Item,B07H7WPV7D
Perfect works well no problems at all good tv been using it more then a year now,Pergect tv,B07H7WPV7D
Product is absolutely fantastic and worth the money... Infact I purchased this for my dad who is a senior citizen and found a sparkling smile on his face when I gave him this surprise. He his happy and we @ home are happy too... Thank you and all the best.,Fantastic,B07H7WPV7D
Good set.in this budget.sound and picture quality are reasonably good.Its also having attractive panels.,Santo 32 inch LED tv,B07H7WPV7D
Value for Money,Very Good,B07H7WPV7D
The product is excellent in each & every aspect. The delivery was great and the delivery person was very supportive.,Great Product!!,B07H7WPV7D
"Bought it for my dad. Worth the money spent. Got a free extended warranty for it too. Delivery and installation was seamless, thanks to Amazon. Sound quality could have been better, gets a little mixed up/jarring when you turn up the volume. Guess that's acceptable.. My dad's happy with it so far.",Value for money,B07H7WPV7D
Very good product,Best Price,B07H7WPV7D
have been using this for months without any issues...picture clarity is very good compared to major brands...,great product,B07H7WPV7D
"Excellent smart t.v.,good clarity,good picture tube,very good performaence over all good price thank u sanyo, thank u amazone.",Super t.v.,B07H7WPV7D
Like,Very good performance,B07H7WPV7D
Good product and quality... At this price. Sound quality.,Three Stars,B07H7WPV7D
On time delivery and within 2hrs installation....quality is worth for money,Nice product and service,B07H7WPV7D
good,good,B07H7WPV7D
After six months of use there was no problem faced. Clear picture and sound. For better sound experience use external speakers. Value for money. Got for ₹30K during sale.,Value for money,B07H7WPV7D
Good product,Helpful,B07H7WPV7D
"Good one, though I pay around 13k for this and same product price reduced to almost 10k during Amazon sale. I should have wait for the sale time. Good product, nothing better at this price range. If you raised your budget little bit then Mi TV is best. For installation Videocon guy will come. This created confusion between both parties as he also did not aware about the product brand. Later came again after consulting with their service center. They have tie up with Videocon.",Good one,B07H7WPV7D
"Bought this TV for Shop, but unfortunately this is wastage of money. Colors are very very off, very faded, no real color. Picture is noise when using both HDMI and AV cable together for 2 different input. Nothing visible if outside bright sunlight, as i am using it on shop. Amazon customer service also pathetic, they say we can't do anything if product is bad, that's your problem, should have checked if this is cheap TV compare to Samsung then you will only get this kind of picture. (Even though the resolutions they show are equal to Samsung TV) Not expected such kind of customer care from Amazon team.","Picture quality very poor, nothing visible when viewing from side angle",B07H7WPV7D
"Good performance, good colour rendering for the price,",Five Stars,B07H7WPV7D
Supper,All of the good,B07H7WPV7D
"I am writing this review after using this TV for the past 2 months. Over all I should say that I am fairly satisfied with the Product considering the money that I paid for it. I use it extensively with Amazon Firestick in HD mode which gives a very decent picture from viewing distance of around 5 feet. Pros: - Low Price - Audio only Mode to switch of video and save power when using Amazon Music - Neat looking TV - No heating even if it's run for whole day continuously - Decent Audio quality Cons: - Very old fashioned remote - Power rating is not 3 stars. This TV takes 65 Watts while similar size of other costlier brands take 50 Watts power. - Not sure if refresh rate could be better.. I see some not so smooth movement of images when watching sports especially. - White looks very bright. So in low backlit setting the White still is prominent. Conclusion: I got this on discount sale for effective price of 9000 /-. Haven't had any problems that would necessitate a call to Service Station.. given that Panasonic Service is supporting this, I must say that it's worth a buy.",Value for Money,B07H7WPV7D
