reviews_text,reviews_header,Asin
"I bought this TV, As it is an android TV it should have Amazon Prime & Netflix. But both applications are restricted in playstore by MI - So I told them to place a return request but they are not accepting it. Saying you should have to confirm it before placing an order. So now on If i will have to buy any android mobile, I will have to call them and confirm all the thousands of applications which is available in playstore - asking whether this applications are supported in mobile or not. Screen quality is too poor. I am prime member of Amazon - But I am saying now never buy anything from Amazon - Cancelling my subscription of Amazon prime as well",Never buy TVs from AMAZON,B07HB7SSPZ
"The picture quality is not good. Resolution is poor with HD connection of my DTH connected through an HDMI cable even though it's an HD ready TV. I didn't find any difference in picture quality with HDMI and RCA inputs. Greenish hue with pixelated appearance of the image was seen even in close view, perhaps defective. Sound quality is okay in low volume but clarity is lost and crackles with medium to high volume. The built is flimsy. But I admire Amazon for it's customer care services for smooth return and refund of the product for which I would give five stars.",Poor resolution and color saturation.,B07HB7SSPZ
"I will suggest all who are buying this in the name of Smart Android Tv. This is totally pathetic product and you will regret it and when you try to return it Amazon customer care will make a number of excuses and keep your phone on waiting for more than 30 minutes by just transferring call here and there to a different department. Let me tell you why. 1) They say ultra-bright display. You will see your own face while paying youtube video on this tv. what kind of ultra-bright display it is? 2) They say built-in chromecast . A built-in chromecast which does not support any Netflix, Amazon. Tell me what kind of chromecast is on this tv? 3) They mentioned on the HDMI port as HDMI ARC. When I try to connect tv with my home theater it not delivering any sound to home theater. I try it by playing youtube on TV. 4) While writing this review. I am on call with Amazon. It has been 32 minutes and Amazon customer care is transferring my call to next and next department and nobody assures me that they will return the product or refund me. I will upload a video of how the display quality it. Please do not purchase in the name of Android instead purchase a normal tv with IPS display.",Pathetic video quality.,B07HB7SSPZ
"I bought it in October. Got delivered fast, on October 13 i got this tv ans has been using it ever since. Today on January 4th, the Android suddenly crashes and displays this message. There is an option to factory reset but nothing is happening. Now have to give this to some customer care centre to get it fixed. When it works, it is real good. WHEN IT WORKS. Update: I contacted Mi customer care yesterday and they were able to resolve the issue in no time. I was concerned that i had to take it to the service centres or send to back to Mi like we do for mobile replacement. To my surprise i was told that THERE ARE NO SERVICE CENTRES CURRENTLY FOR Mi TV's. No service network at all. The customer care executive told me If the issue exists even after the fix is tried, i had to register for an installation request and then have the technician coming in for TV installation take a look at the TV to fix the issue. Other than that, I don't think Mi has any service options for their customers.",MUST READ THIS BEFORE BUYING: Android in it crashed within 3 months : It was an easy fix though.,B07HB7SSPZ
Installation takes ages.Still not installed 7 days have passed.,Never ever.,B07HB7SSPZ
Bought this MI 32 inch 4C PRO Smart LED TV two months back and now the TV’s system got crashed while watching through wifi network. Contacted MI Customer care & they ensured that service engineer will attend the case within 24 hours. But no one called or came. Upon calling they denied giving the service engineer’s contact No. A very poor service from MI Customer care. Not at all reliable and supportive.,Very poor customer service/support in case of fault,B07HB7SSPZ
"Bad product marinated in marketing flavor.its totally mi's misleading add. Picture and sound quality pathetic, in same range Micromax canvas 3 display and sound is way better than this. Those who are thinking to purchase it is no where near to reputed brand.Amazon delivery and installation was good and on time as promised.",Only misleading advertisment,B07HB7SSPZ
"Pros: 1. Very Good Picture quality with nice sound system. 2. A nice TV with Android & Chromecast facility in Low Cost. 3. Wifi functionality is perfect. 4. Google voice search works fine. 5. Chormecast working fine. Cons: 1. Amazon Prime Video & Netflix could not be found pre-loaded and could not be installed via play store. 2. I can't find any pre-loaded browser by default. 3. With some efforts using computer we can install some apps like (Amazon Prime Video, Netflix & Chrome) 4. We could not choose default TV Input(AV Mode) when we put on TV. Because of this every time we have to choose input source for AV Mode. If these defects are rectified in future through updation, this tv would be the best low cost tv available in Indian Market.",Very good features in low cost,B07HB7SSPZ
"I have been purchasing multiple products over Amazon since its advent, sometimes even amounting to 1 lakh. I haven't reviewed a single item ever in my life. This time I am forced to. A brief timeline: A) Since this product was an Android TV at a steal price, I bought it, until realizing a big gaffe I had made. B) I received the product on 28th October. I was told not to unbox it until MI support did so. C) Mi support unboxes and wall mounts the TV on 31st. To both of our surprise, the remote is not present in the box. D) As a guileless person who trusts values, I thought it of a minor mistake and raised a case with MI care. Even Mi installation guy raised a case internally. E) After numerous followups (spending almost 2+hours), I was apprised on 1st Nov that ""as per internal investigation was done by MI, the package delivered to me was intact"". F) I have been still following up with MI, and the TV is useless because it needs remote for the initial setup. In a nutshell, we all believe MI products are great. The phones definitely are but cannot say exactly about TVs. I understand we all tend to buy amazing products at great deals. Everyone should. But one needs to be careful of why still Samsung or Sony are finest. That is because they value their customers. It is all about ethics and principles. If MI cannot trust the integrity of its customers, then neither am I bound to.","Be cautious of MI support. No offence to Amazon, which has been great as always.",B07HB7SSPZ
"This has to best among all smart TVs below 20K available in market today and let me tell you why. Crystal clear picture quality. I have Samsung and Sony Led in other rooms purchased at much higher price but still MI TV delivers at par with Sony and much better than Samsung. Guys there is hardly any difference in Full HD and HD ready at 32 Inch size. I found no recognizable difference when both content played even side by side. Inbuilt Andriod Play Store, Youtube, Pathwall and Chrome Cast is amazing. You can play any file format including 4K content smoothly. DTS Sound quality is mesmerising. Gives you perfect cinematic experience. My Sony Bravia and Samsung counterparts in other rooms are no where close in sound quality. The only con I found was ease to connect chromcast. You need to download Google Home app in smartphone which you want to connect.",Gives you much more Value than its Price,B07HB7SSPZ
