reviews_text,reviews_header,Asin
The product of Airtec electrovision is very good all model of this brand is attractive and the quality of the product picture quality is very good and sound quality is very good full screen joom in tv all model are good,Very good product,B07MGQS2M8
Poor,Very bad usb not supporting,B07MGQS2M8
"The Wide Color Enhancer Technology combines with 720 p resolution to ensure that you enjoy vibrant clear detail images. It has 2 HDMI and 2 USB ports which allow you to connect other devices to take your entertainment experience a notch higher. So if you are after quality, make sure you pick one of these 24-Inch TVs.I t is super-easy to set-up hence you won’t waste much of your time- you now get more time for entertainment.",TV comes with a great price tag,B07MGQS2M8
Excellent Product . From delivery to Product to Price everything is Superb and Excellent..,Excellent,B07MGQS2M8
One of bad Tv ..Very heating problem Bad tv. ....2 hours running the TV was heating problem and no seen the picture and black picture.....Any one dont buy this tv,Worest TV,B07MGQS2M8
24 inch not coming 22 inch only,24 inch no 22 inch 56cm only,B07MGQS2M8
"One of the worst product. If you have 5000 inr to burn just literally theow them in burning fire but never purchase it. I got it and the panel was working fine I was unable to connect USB ,AV , HDMI none of them was working more over there support is extreamly bad no service they use to provide it something went wrong then you need to throw the product. Please before buying think 100 time worst product. If you are thinking of bying this then you might thik of throwing your money into gutter. Please dont buy.","Never dare to buy, Please dont buy this.......",B07MGQS2M8
It has no wireless conectivity like blue tooth and wifi so pls...understand that this Tv is only for basic use. .....,Good in picture and sound i buy it today 6th june 2019 now lets see kitna chalega..1 yr warrnty h ..,B07MGQS2M8
I have given 3 star because the customer care department are not picking the phone. TV but remote control is not working. I call several time to customer care but they are not picking the phone.,Poor customer support,B07MGQS2M8
Perfect picture quality I bought this for pc monitor. Remote has a button PC if you press it then automatically it adjusts for PC monitor. Colour brightness contrast perfect. It's a challenging product to big names. Durability don't know. As of now it's a steal for the price. Lastly I am not a gammer on PC can't comment on that but for regular use you tube its great. When you switch on PC monitor automatically adjusts to 1366X768,Go for it worth every penny,B07MGQS2M8
You will not get any support from the product team like for installation or mounting.. other than than product quality is good,No support for good quality,B07MGQS2M8
"Purchased at Rs 4999/- (24"" inch location Mumbai) was not eligible for any discount. Picture and sound quality is good. I have been using it since last 3 days and no complaints whatsoever. I have not tested its USB ports since my sole purpose is to use it as a normal TV. Installation:- Is taken care by eAirtec itself so no need to call Amazon. Once you receive the product call their customer support number at 18001024877. Installation was done by Jeeves (think eAirtec installation partner) within 24 hours after the call. Final verdict :- I am fully satisfied with the purchase. If you don't have deep pocket and are willing to give a chance to lesser known brand, you can go for eAirtec.",Good buy.,B07MGQS2M8
Not working only,Badly,B07MGQS2M8
TV screen damage,This product screen damage,B07MGQS2M8
Customer care number not working No proper guidance for installation,Poor customer service,B07MGQS2M8
Super super duper .pic quality lg Samsung tipe.saund super.,Nise experience my purchaseing.,B07MGQS2M8
"Delivery on time. Installed manually. This is review after being used for 5 days.. Connected to cable set top box (AV1 input of tv).,✡️✡️✡️✡️✡️ Sound, picture ✡️✡️✡️✡️ Connected to laptop using HDMI for 2nd screen..✡️✡️✡️✡️✡️ Connected to external speaker ✡️✡️✡️ Connected to anycast wifi to tv as a wireless display & casted mobile & laptop screen on tv..✡️✡️✡️✡️ Heat & others in back...✡️✡️✡️ . Bluetooth for sound broadcast ... Not tested.. Overall...✡️✡️✡️✡️ 😊😊",Usage..In 5 days..✡️😊✡️,B07MGQS2M8
Company not send her installlation men,No one coming to install the tv.and nothing accept wall mount.,B07MGQS2M8
Awesome product at this price. Picture quality is good. Packaging was good. Installation on time.,Great product in this price range.,B07MGQS2M8
"This is absolutely stunning .Video quality is excellent & never expected to have this much for the lowest priced LED TV in the store.I would definitely recommend this brand.Sound output strength is good enough.It has plenty of input ports mainly 2 HDMI as well as USB ,AV ports .You can use this also as a PC monitor as the size is 24 inch.This size is ideal for a room <=100 sq feet.i suggest to go for 32 inch if room size exceeds 100 sqft. Installation team took around 3 days for visit ,but they were responsible & followed up by contacting me for scheduling the visit time.Overall I am happy with the product.",Impressed by the Video quality,B07MGQS2M8
Value for money,Very good product at this price range.,B07MGQS2M8
Very very very wrost product from Amazon. And installation too late don't West money.,Don't buy,B07MGQS2M8
"Product quality is fantastic...not less than other leading brand like Sony, Samsung or Philips & Mi........Mohd Danish khan has given very big support to me telephonicly as in terms of technical part ....Special thanks to him .",Fantastic,B07MGQS2M8
sab kuch acha hai,best thing,B07MGQS2M8
