reviews_text,reviews_header,Asin
This is the worst product i have ever received through amazon..e-airtec is worst company with its worst product..I recieved a TV with speaker not working..I recommend other people not to buy this local brand..and I want my money back..please refund my money as soon as possible..,Worst brand,B07MNF89L2
eAirtec Customercare wont call you after you receive the product. You have to call them for installation/wall mounting. Customercare number 18001024877.,Things to remember after receiving the product,B07MNF89L2
excellent product buy it without any tension,excellent product,B07MNF89L2
Faltu plz dont but the good comments are fron airtec team,Lol,B07MNF89L2
Every thing is so good very nice brand,Very good from other led,B07MNF89L2
"Such a brilliant product at no cost Picture quality is as good as Samsung As far se Service Team of eAirtec is concerned, they are such a professionals, mind blowing response, fast installation by seller Customer department has called up regularly till the installation was not done Special thanks to Mr. Naasir, Ms. Pooja and Mr. Rahul Great experience, buy this tv without worrying about after sales services",Wow experience,B07MNF89L2
Yesterday i received tv on 4.30 pm from yesterday no one received call regarding installation and usb also not working.... Very bad experience for me...,Installation qnd Usb issue,B07MNF89L2
"Remote stopped working,main board found faulty, within a week replaced the board. I am doubtful about how long it will last. It is cheap so is the quality otherwise picture and sound quality is ok.Hope it runs",Main board fails within a week.remote stopped working.,B07MNF89L2
You need look alternative for Remote Control and the remote inside the package will not work. Im requesting the manufacturer or the dealer to send me the new working remote. Don't buy this product. It's been a month and still I've not received the requested Remote Controller.,"Product is bit fine. But, remote is not working.",B07MNF89L2
Screen not working.....I want to return,Display not working,B07MNF89L2
Tv is good for price. Wall mounting is not good. Only one rod was received (which doesn't fit tv hooks)while two rods required. Tv is in danger of falling and crashing. Should give option and provide only opted mounting with better quality.,Tv good for price wall mounting substandard.,B07MNF89L2
TV screen guard has many air bubbles.. Still care to be taken to improve the quality... Don't buy this... You can go for 32 inch smart tv,Airtec 32 inch led TV,B07MNF89L2
Second hand tv,Wast tv,B07MNF89L2
No support for TV installation TV fixing clamps not matching,Cost wise product is worth but no installation support from manufacturer,B07MNF89L2
Very bad picture clearty only vest on money product,Vest of money,B07MNF89L2
To bad no parched led tv,Not working eAirtec led tv,B07MNF89L2
installation wale call ni uthre,installtion ni hora hai iska koi call pick ni krra hai,B07MNF89L2
Not working remote,Problem,B07MNF89L2
I didn't get warranty card...,I'm not happy with that product,B07MNF89L2
"Unsatisfactory, colors not adequate & they are not going listen",Unsatisfied,B07MNF89L2
my led not working sounds not and colour not good so plz my led tv riplesment,airtek led tv,B07MNF89L2
Unbelievable unbelievable unbelievable😘😘😘😘😘😘😘 East or west Eairtec is the Best,😘😍East or west Eairtec is the Best😍😘,B07MNF89L2
Not a good buy,Xxx,B07MNF89L2
Not installation...why.,Bad service.,B07MNF89L2
Tv remote not working properly. Overall good . no Bluetooth no wifi ... it has display backlight blinking problem.,Good ordinary tv,B07MNF89L2
S0und not working its been only 2 days i have used,Sound not working its been only 2 days i have used,B07MNF89L2
Good,Very nice product,B07MNF89L2
Tv purchased on amazon is very good and sound is very clear also very loud and very very good quality of video. thank you amazon for best product.,Good product,B07MNF89L2
It is not connecting and picture quality is also not good,Bad quality,B07MNF89L2
I need my free installation for this product as promised didn't get any,I didn't get any installation,B07MNF89L2
No good,Good,B07MNF89L2
Sounds is not good,Sounds,B07MNF89L2
"This TV purchase on Amazon shopping is very good and the quality of this TV is very good, sound quality, picture quality is very fantastic and the packaging of this TV is very good also",The product of Airtec deals in good quality and give better service,B07MNF89L2
"Super clarity But my question is weather ""is it LCD DISPLAY or LED DISPLAY ? "" TECHNICAL guys knows it very well pls see the uploaded video and expose it and help the customers ....It's not supporting AC# audio file",Super Hi,B07MNF89L2
"I purchased AIRTEC LED..My LED TV is not turning on,first day. there is something to change in the parts.I call everyday in your customer care for two weeks.I tell them all the problems.But she is being fooled me everyday, she saying everytime today and tommorow your problem solve.I thing big mistake using your company product.Your customer care is very worthless, nobody knows anything.If you can get it done otherwise Take it back your product.Dnt buy this product..",Worst product,B07MNF89L2
Good,Nice,B07MNF89L2
"Tv is outstanding, finishing is not smooth but money spent well, high definition only (HD ) BUT PICTURE QUALITY AND video quality is wonderful just wonderful, native resolution for PC is 1280*720p and response time is bearable and can play any games without time lag, or any pictures blur or any defects. I will write again after a month and tell all details..",Very nice for this price range.,B07MNF89L2
one of the best tv in led picture quality & sound was awosome & the service of the product is also excellent & price is also good in a budgest i tottally perferd to purchase the led tv airtec its rellay nice product for middile class person,its sound is birrlent,B07MNF89L2
Overall 4 star coz till date after purchasing 2months no one has contacted from customer care regarding installation of the product... After waiting 4 days from purchase we wall mounted it by ourselves. Don't expect any customer care service from this brand. Product is very good in this price.,Worst customer service,B07MNF89L2
e AIRTEC Brand is Excellent and Amazing.,e AIRTEC is Excellent Brand,B07MNF89L2
"Very happy with the product and clarity, sound and options are really good... And the customer service department was really supportive. Most importantly the service executives who came for the support was really helpful and polite. Thank you for team.",Value for money. Happy and satisfied customer,B07MNF89L2
"Unbeatable price,I got TV @only Rs.5400/- packaging and installation superb, picture qualty and sound is good, it is working without any problem,satisfied very much,for installation contact What's up no.9311017777,mention Amazon order ID,They will provide better installation service, installation service Engineer is very humble with good work","Unbeatable price for 32"" TV,with good picture and sound quality",B07MNF89L2
The TV is good and the Service is prompt and good. We had a problem with the sound there was a buzzing noise coming from the TV. Danish had come from eAirtec and resolved the issue. Danish was very helpful and had good product knowledge.,Good Service,B07MNF89L2
"I purchased on September 2nd,this is November,now tv not working,I checked with Amazon,they given eairtec number +91 93110 17777,after contacting they are saying to contact Amazon,it has one year warranty I want to replace the product or repair the tv please respond any one",Worst product,B07MNF89L2
Coiaxl port not working unable watch local TV received 26/09/2019 and there is no technical support from the TV manufacturer replacement also not possible... returned....,Don't waste your time and Money,B07MNF89L2
Value of money.but Tv vagi 3days aaguthu ennum install panna yarum varla. Yantha oru response mm Ella service provider ketta eruthu.eppave no response na TV fit pannuna peragu yappudi fault na varuvaga.waste of my time,Tv OK.,B07MNF89L2
absolutely useless and above all seller is useless,the product is not good even if we get it free of cost,B07MNF89L2
Product is not costly as compared to other brands. Good picture smart feature and sound quality,Good product,B07MNF89L2
Delivery on time product is good awasom 32 inch air Tech TV I got a free airmouse thank you airtech sound quality is good picture quality is much better,I got a free air mouse thanks aitech,B07MNF89L2
"Good Product, I am using this for home lab setup. 2 HDMI ports, 2 USB ports are more impressed me.","Good Product, Value for money.",B07MNF89L2
TV is defective. It's sound system is not working. Please replace the TV. Installer came yesterday (28.10.2019) evening. He checked and told us. He packed the TV for replacement. I didn't get any jobsheet from him. Please do replace the TV set.,Please replace the Tv set.,B07MNF89L2
TV remote is worst... It's not working properly... And there is no apps available for remote control,Problem with remote,B07MNF89L2
"This product can be compaired with popular brands like Samsung, Sony etc. Their companie's customer service is excellent. The installation was very prompt. The installation was excellently done by well trained executive, his behaviour was good. Picture quality and sound is good. It is value for money.",Excellent TV,B07MNF89L2
Getting this TV at such a low price is definitely a plus point but black spots started appearing on the screen within 3 months from purchase.,Okay in low budget category,B07MNF89L2
I never see this type of worst product. TV is working only 4 hours on day. Waste of money product. Plz don't buy this product.,Not working-,B07MNF89L2
Very low price and very very good product,Best in class,B07MNF89L2
I am not happy with the display this is not HD. I want to book another TV on this so Amazon please help me on this please take this TV back and on adding some money more i want take another TV on amazon.,Not Good,B07MNF89L2
"Sound quality is very good, but picture quality is not up to the mark as per review s posted on amazon.",I would like to give 3 star only.,B07MNF89L2
"Thumps up to this TV, as the price is very low and giving good quality picture.",Picture quality good sound OK,B07MNF89L2
"Just using it for past 7 days , So Far so Good. Cable doesn't cable inside bit you can use other TV cable which connects setop Box with TV.",Good value for money,B07MNF89L2
very nice product all features are good and nice...MY PRODUCT is looking awesome and Thanks amazon for Fast delivery,nice Products,B07MNF89L2
Good product,For money,B07MNF89L2
OK.good . Tv superb sound clear picture OK .all video format supported..value for money.... U undoubtedly buy it...........,Really superb eairtec,B07MNF89L2
So good very good picture quality 32 inch led TV I got. A free. Airmouse thank u airtech your product is very very good and i m happy....value for money,Good product 32 inch led airtech,B07MNF89L2
"Thx eartech for the free air mouser , the video quality of the eartech led tv32 is amazing for experience good video and audio quality a person is amazing.","experience of 32"" eartech led tv is amazing",B07MNF89L2
Lower price good tv,Nice,B07MNF89L2
👌👌excellent product in this price,Value for money,B07MNF89L2
I both this product from amount the quality is super good the tv price sits 20000 the picture quality is very good thanku vary much to Amazon to recament this comment is is my own comment not an Amazon thanku to eairtec tv company 😁,This tv super good.....,B07MNF89L2
Small price good tv but one 24 inche tv display crack I replace order,Good,B07MNF89L2
My product is fauly after complaint no any salutation only team come here and see what fault in my led television he not fully saduce me.,not good solution for my complaint,B07MNF89L2
Nobody came for the stallation of the TV and your man was saying that the TV stallation will be done in 2days after the delivery,Not that much but it was good,B07MNF89L2
Tv on hi nhi ho rha please dont buy,Bekar product,B07MNF89L2
It's nice product and good customer service good response,Value for money,B07MNF89L2
Nobody is picking up phone for installation,Poor service,B07MNF89L2
Gr8 Product. Awesome 4k Picture Quality. Happy to buy it.,Amazing Product,B07MNF89L2
Instillation is third class 10 days go but not instillation completed,Airtec TV,B07MNF89L2
Very nice picture quality and full paisa vasul product..... I would recommend to everyone who is looking for a budget tv,Value for money....,B07MNF89L2
"Usb didn't work ,iske alawa saund quality owesone picture quality also very good bus USB kharab Nikal gya ,under 6000 it's beat all other brand",USB don't work,B07MNF89L2
Waste of money,Waste of money,B07MNF89L2
Good product,Excellent,B07MNF89L2
Very good product,Economic,B07MNF89L2
Really it's great product in this price range .. I don't know about service details .. but I'm ok,Value for money,B07MNF89L2
Purchasable product... Cheap and best... It TV brand I am using is working fine.. I appreciate your technology... It's multimedia functions are dashing... It's true value for money I spent....,Perfect,B07MNF89L2
No Bluetooth piture quality its to bad,Low price low quality,B07MNF89L2
good product,good,B07MNF89L2
It's great nice product delivery is superb Value for money,Value for money,B07MNF89L2
This product to day checking but dammege screen I want replus,Replus tv,B07MNF89L2
Picture not clear,Mani waste,B07MNF89L2
Low cost good performance,Goooddddd,B07MNF89L2
Value for money,Valuable,B07MNF89L2
Installation?no details for installation of this product.kindly arrange an installation,Installation not done,B07MNF89L2
Awesome product in this prize range.,Value of Money.,B07MNF89L2
U replace itam,U item quality poor,B07MNF89L2
Amazing product in low price. Compared than other products. Thanks to eairtec,Amazing product,B07MNF89L2
Picture quality ok. sound quality little bit low. delivery persons good support at this time.,Tv,B07MNF89L2
Picture qualityis very good & sound is good clear sound best price of the airtech 32 inc tv,Very good product thank you airtech i got a free air mouse thank u airtech,B07MNF89L2
Remote not working volume button up button work down button not working very poor equality,Remote not working volume button up button work down button not working very poor equality,B07MNF89L2
"It is a bajet rate best led tv. Picture quality very nice, and sound quality nice. It is a great led tv",Very good picture quality,B07MNF89L2
