reviews_text,reviews_header,Asin
My 2nd purchase of the same product. Lovely at this price of 25k. Apps are few but still netflix and youtube make up for it,Very good,B07Q6YCJB4
"Within the budget! Picture quality is good, little more depth would have been better, sound is not very clear, YouTube runs smoothly!",Within the budget!,B07Q6YCJB4
I use Apple Tv so just need a TV as a monitor and this really does a great job. Also quick and excellent instillation the man even moved my old tv and installed it also in another room.,great TV at great price,B07Q6YCJB4
NO ONE CAME FOR INSTALLATION I TOOK RISK TO GET IT INSTALL FROM OUT SIDE AS PRODUT WAS LYING WITH ME FOR ALMOST 12 DAYS What can I write about the product it's laying in my house for more then a week no one has come or asked for installation . If I try to install and the PC is defective then the PC's is on my head I regreat y I bought from Amazon please some body show me a way out,No one came to install the set I had to pay out side for installation,B07Q6YCJB4
I wish I could give it 0 star. It does not support app download. Neither I could install apks. I can only have youtube. Total waste of money. it's better to buy a lcd/led tv and use amazon fire stick.,Good for nothing!!! Read this before buying!!,B07Q6YCJB4
"This product is value of money 1. Sound quality improved compare to previous released 2. Picture quality is now great. build in quality is not so great compare to other brands like Samsung,etc",Installation team visit and product delivery to Kerala faster than I expected.,B07Q6YCJB4
Good led,Please buy led,B07Q6YCJB4
It does not support app download. Not suitable for CC TV.,Ok,B07Q6YCJB4
Picture Quality is not satisfied and the features are not optimum and not at all computable. Please refund my money,Picture Quality is not adequate,B07Q6YCJB4
"This is a second time I am using VU brand, and I can only say they have one of the best quality and service levels, not to forget value for your hard earned money. My last TV worked for 9 years with no maintenance",Excellent Product,B07Q6YCJB4
No being installed despite repeated reminders to VU customer care,No-one has come to install it despite repeated reminders,B07Q6YCJB4
Nice and good Value for money The image quality is extraordinary . The tv as such is very sleek in design and when mounted in wall it looks very good Last but not the least . When bought thro Amazon then why worry !,Nice and good,B07Q6YCJB4
"Having a problem with internet connection, Tv is not getting connected to the home WiFi. Please send some one as soon as possible",Connection problem,B07Q6YCJB4
Super worthy to buy the product,Nice,B07Q6YCJB4
GooD... $$$$$$,Youtube,B07Q6YCJB4
"Very good Response from Vu tv team as well as Amazon team. Very much thanks. INSTALLATION Completed with in 48 hours of delivery. Picture and sound Quality is good. Net conectivity is good. Upto now it is nice. Expecting long life, have to see how long it works.",Good Response from both Amazon and VU team,B07Q6YCJB4
"Super tv for Budget range. Very good hd clarity, super speed connectivity and easy access of Netflix n Youtube",Very good tv for Budget range,B07Q6YCJB4
Got the product pretty much... Let me use ... Than only I can say.... On time delivery...Good Installation good response... value for money which is payed...,Vu tv HD full smart 43in,B07Q6YCJB4
"I am following up the installation team via emails and calls since a week, but they didn't show up here to install the TV. They are saying some silly reasons for not showing up. Please take precaution to book the installation more than a week prior to your need.",Worst service(installation),B07Q6YCJB4
Picture quality is very good. But sound function is not very optional,Vu,B07Q6YCJB4
Worst after sales support installation guys are not answering the call from 1 week i am trying to reach these guys.,Irresponsible installation team,B07Q6YCJB4
Smart features and picture quality are too good. Sound is also good but could be better if controls be given.,For the price the product is excellent.,B07Q6YCJB4
Nice one,Best,B07Q6YCJB4
This is not a full smart TV. It only allows limited apps to be installed.,Good product,B07Q6YCJB4
Excellent picture quality but not up to the mark sound. Only selected apps from VU's own list can be installed. Disappointing. Value for money,Value for money,B07Q6YCJB4
Picture quality is very good and value for money. Having good features.,"Awesome TV, good picture quality. Go for it.",B07Q6YCJB4
Got an amazing delivery from amazon,Total value for money,B07Q6YCJB4
Value for money...,Good product for the value...till now..,B07Q6YCJB4
Good one,Good one,B07Q6YCJB4
Good Product,Good Product,B07Q6YCJB4
Not android based tv,Not so smart tv,B07Q6YCJB4
