reviews_text,reviews_header,Asin
I have face light bleeding issue between bazell and screen and screen also moving between bazell. After using YouTube and screen mirroring home and options buttons are not working in remote. Sony india denied to attend my complaint.,Product quality is no good.,B07QB77C92
I am fan of Sony. So good products in such affordable price. The quality of Sony TV is so good. Very happy with this purchase,I m fan of Sony tv😆,B07QB77C92
"Sony did not disappoint with this one. Its Sharp, bright, with adequate audio and smart with features which work. What does not work is the remote with Tata sky. Some of the channels to control audio needs Sony remote and some the Tata remote. This also does not have have auto brightness control which is not good as my 12 year old LCD had that. Something I will live with. TV is excellent.","Excellent, maybe just short",B07QB77C92
"Awesome product actual price is 59k which is the MRP and got it for 46k with 5%cash back from Sony. About TV u will get default app as YouTube, Netflix, sonyLiv, PrimeVideo. You can't install any other app. It contains Web browser where you can browse the necessary contains. Sound is awesome even at full sound clarity is awesome. It contains HDMI ARC support where you can connect external sound system, also it contains a 1 headphone out. If any doubt post a question I will help you overall with 43k with 5% cashback it's an awesome purchase.","Awesome, that's all I can say",B07QB77C92
"There is a unbeatable deepest bass sound installed in this latest model.umazing picture quality with smart you tube features. But mobile videos, gallery items are not playing. Showing error no playback available.",Shaandaar Jabardast jindaabaad,B07QB77C92
"Bought my sony bravia tv in the great indian festival with some discounts and a two year special screen warranty benefit. My review is for the common people who wants to enjoy 1080i HD quality with DD+ sounds at home without paying money to the theatres ☺️ I always wanted to watch movies in 1080i hd because now a days the TV channels r HD and I downloaded a lot of movies from torrents in 1080i but couldn't see this pic quality as I had only 720i HD ready monitor 😒 Don't be fooled by the word HD READY cus those r only 720i and not gives u 1080i! This TV has TRUE 1080i resolution with true DD+ sound effects with 30w output. This is the most affordable bravia in 30k range. Other brands do manufacture smart TVs at low price but u can't have this quality sounds and picture in those TVs.About the delivery,it was really nice and the TV installer came and mounted my TV in wall with zero cost. But one thing , AMAZON BUYERS, IF U BUY ANY SONY PRODUCT FROM AMAZON ALWAYS LOOK FOR ONLY TWO SELLER : CLOUDTAIL & APPARIO . Because only these r Sony authorized dealer. Sony provides full support for these two sellers . I have found this thing only on their website. My seller was CLOUDTAIL. It's total value for money and hope not to buy a TV for at least a decade 😀",The Best FULL HD LED TV for middle class common people like us !,B07QB77C92
Picture and sound quality is excellent. Overall built quality is premium. Screen mirroring is awesome. In-built WiFi. In-built woofer is good.,Good product,B07QB77C92
All features are good,PERFECT,B07QB77C92
"The product heading says ""Sony Bravia TV.... with sony headphones offer"". But the headphones wasn't given with the tv. When I raised this issue I was told that I was supposed to have bought the Sony headphones along with the TV. Then it would have been given free!!",Misleading offer,B07QB77C92
"picture quality and smart features are so good, but Bluetooth connectivity option not available in this model, it is only disappointed to me, but overall product is GOOD",AWESOME n Happy,B07QB77C92
