reviews_text,reviews_header,Asin
"Using TV for about one month. TV audio, video works fine. One problem that I felt that you cannot change language of a dual audio file when played from USB. Checking from Customer care , they said this option is available in higher ranges of TV ( SMART TV) . So when buying a basic LED TV keep this in mind.",No dual audio support,B07QD64TL4
Sony still sells at a premium and a decent service is expected. Seems Sony has also tied up with local vendors and is not able to control their service quality. Shame. No one has turned up for installation even after confirmation. Waiting for installation... Shall put in more reviews once product is operational...,Useless service inspite of paying a premium for Sony,B07QD64TL4
Picture and sound quality good,Picture and sound quality good,B07QD64TL4
Good TV for people who don't require smart tv. 👍🏻,Good TV,B07QD64TL4
Nice product,Nice Product,B07QD64TL4
Sony is always superb product thanks to Amazon,Thanks Sony ND Amazon,B07QD64TL4
very good nice product i love sony brand,good product,B07QD64TL4
Good sound n picture quality 👌,Good product,B07QD64TL4
Good quality,Ok 👌,B07QD64TL4
Perfect,Best product,B07QD64TL4
Overall satisfied on all parameters if you are looking for a basic tv. This is not smart tv.,Worth buying,B07QD64TL4
