reviews_text,reviews_header,Asin
Don't purchase this TV waste of money Service from Kodak is worst and also from Amazon they just don't agree the problem of product. While returning this tv I faced so many problems. Tv does not support hdmi. And it shows USB option but doesn't support USB. Amazon Customer care exicetive specially female exicetive just give rude answers and let the time pass and feel like they are the owners of Amazon.,Worst tv and worst return policy,B07RJQYL97
"I'm updating this review after Four months of use. Pros: great picture quality with high brightness, A+ grade panel in this budget. Sound is good for small room or hall. Android 7.0 Preloaded Netfllix , Amazon prime video, Hotstar, Zee5, Jio Cinema & many more. Almost every necessary apps are there in App store. Works good with wifi , can connect with mobile hotspot Miracast is working good to share your mobile screen with TV. USB drive supports well. HDMI Ports are also working fine. Cons: No Bluetooth so you can't connect your Bluetooth headphones or speakers, But you can buy Bluetooth transmitter that can help to connect. Overall value for money & can go for it without thinking more. Value for money",A smart TV with great picture quality,B07RJQYL97
"Kodak 40""smart TV is excellent with Android everything is excellent picture quality , sound quality and all facilities . Very light weight and easy to carry . And the best of it is ,it's very cheap Brands are just for unnecessary ego of people . People should buy more products like this to get more and more product like this from this manufacturer . Hail Kodak . Thanks a lot .",Worth lot more than its value .,B07RJQYL97
"Bought this TV for my room specially for Netflix and Amazon Prime. Installation was done on time and the installation staff was well trained and on time. Perfect rating for that. Once the installation was complete, the channels were playing normally but the main reason because of which we had purchased the smart TV ( netflix,amazon prime play etc ) were not working at all and the apps which were pre installed were crashing. After several attempts of trying to reinstall the app or deleting the app, I finally had to give up. Started the refund process which was quite a task as its an electronic item and returning that after installation is difficult. My suggestion is rather go for some other running brand, may be like a MI tv compared to this.",A bad decision for trying this.,B07RJQYL97
"Negatives: 1. Miracast doesn't Work. There is no question of screen mirroring for your mobiles or laptops. It doesn't get connected. I tried with one plus 6t, Poco, Macbook, nothing worked. 2. Limited storage. 3. It doesn't have any Google play store. Some custom-designed AppStore is available which has limited apps. There is no option of switching the options to desktop mode especially browser, Youtube, prime video, Netflix. 4. Apps loaded are not getting updated, therefore, you forget about new options of apps. 5. You can't sign into the Google Account for enjoying the customised experience of YouTube, or even apps. 6. No security updates available & neither are OTA upgrades. There are so many things they need to set right. Positives: 1. Picture quality is just adequate. HD looks SD but that's fine at this price. Maybe because of DishTV HD. 2. Connects well to wifi. 3. The menu option is neat and less cluttered. Very easy to switch between the TV and apps. 4. Sound is loud and clear. 5. Apps work fine. 6. You can attach a wireless keyboard and mouse for browsing. Conclusion: if you have a tight budget then this TV will work wonders for you.",Good buy with max features but screen mirroring is a problem,B07RJQYL97
"After a 2 month usage, I can say that the best part of the Kodak product is the price which is THE Best in the market, and would love to add few more such as the HD Ready picture quality is good, connectivity to WiFi has no issues and so is with the installation of apps. I dint see any issue except that YouTube app will crash when used with voice search. Other than that everything is good.",Product looks promising,B07RJQYL97
I started receiving spam calls saying that you won lucky draw for buying this kodak t.v . Contact details are shared with third party.,Spam calls and late installation process.,B07RJQYL97
"First and foremost, bare in mind, even if you pay 1.5lakh for a Sony TV, you will still have some unchecked boxes in your wish list. This is subjective and context oriented issue and will differ for every individual. From my brief usage of this TV, Video quality has been good, Audio is alright, not great but if you need better sound, you can think of adding a sound bar. Feature wise, it has almost all the features I was after, though, there is no Bluetooth. Only thing a person need to remember is more than likely they will be paying more for their mobile phone and expect more from this TV. You only get what you pay for. I compared this TV with brands like TCL, Chroma, Samsung, Panasonic, etc. This TV beats TCL and Chroma by a huge margin and is still cheaper from them. Samsung and Panasonic just marginally beats this tv in Picture quality and sound, plus one or two features but for that the cost was more than 2 times of this TV. Living in a world where technology is changing at a lightening speed, I would not want to invest too much in TV and then get stuck with it. Personally, I bought this TV so I could live with it for a couple of years and then change it but now I think it will be good for about 5 years. Also, looking at the feedback, people rate TV badly just because there was issue with logistics, use your brain and don't miss-out.",FullHD Smart TV that easily compares against leading brands for a fraction of cost,B07RJQYL97
Worst purchase experience. Installation by jeeves was a nightmare. Promised installation within 48 hrs but took more than 10 days. However Amazon assured that return policy will commence only after installation or else i would have returned the tv. Jeeves should be blacklisted for their inefficieny. Comming to the tv the wi fi reception has scope for vast improvement. Sound.... Needs a home theatre for audio to be heard if few people are around. Picture quality is average,Bad experience,B07RJQYL97
"Order delivery on time and installation person arrived on time with phone appointment but he did not know how to show the installed feature of smart tv as shown in advertise on AMAZON such as NETFLIX not working inspite of log in, HOT STAR not being login, and other feature, he was unable to show any smart function except youtube, he also said that he never installed smart feature on any tv. Very bitter experience.","No hotstar log in, Netflix login but not working, installation person do not know to show the demo.",B07RJQYL97
"Recently bought this TV on Prime day sale. Will say this , For the given price of INR 8000 (including prime day discount+HDFC discount) its the best configuration you will get with all the smart features. If you compare it with Mi TV which is currently market leading smart TV, only 2 drawbacks: 1. Android Version of Kodak TV is 7.1.2, little bit outdated and no option of updating software OTA. Can be updated only offline via zip file. 2. Kodak TV doesn't have Bluetooth, but external dongle can be used. Although, i would like to emphasize on using external speakers if you have any, because default speakers of Kodak TV are not that great in terms of Bass. Rest all other aspects, Kodak is offering smart TV with all the features other brands are offering and that too within budget.",Good Product at the given price,B07RJQYL97
"TV delivered on 15th August, as per installation policy of 72 hours, not received call for installation till date and kodak customer care number is invalid. Only god will know after installation if any problem in product were to contact. Please check and revert asap.",Installation issue,B07RJQYL97
I brought tv 5days before. But no installation done.,Poor customer care in Kodak,B07RJQYL97
"Dont buy this, mine stopped working in 3 weeks and Amazon or Kodak no one is helping to fix this issue",Beware - Dont BUY,B07RJQYL97
"Arrived on time, nicely packed, nothing missing. Did not wait for installation, it is a simple plug and play TV. Connecting it took less than 5 minutes. Youtube, Netflix and other apps are built-in and function like a pro. Watched a Netflix movie without a hitch in streaming. Picture quality is superb. Sound is not the best in class though. Very lightweight, have used the table mount legs to set it up, all you need is a star screwdriver. Will update review after 3 months.",Great value TV,B07RJQYL97
Please dont buy. Cheap quantity and horrible customer support service even in metro cities. Not working only after one month of use and waiting since one month to get it repaired.,Cheap quantity and horrible customer support,B07RJQYL97
"Kodak is one of the most trusted international brand. I'm using this product for 2 weeks not faced any type of issue yet. Sound quality is fantastic, for better sound quality there's 20 w speaker is effecient for a standard room. Everything you expect from a smart TV is there to entertain you. It support thousand of application designed for smart TV like YouTube, hotstar, Netflix and it also support playstore apps. I'm using opera browser, better experience than smart phone. You can also connect mouse and keyboard. Only negative about this product is it's connectivity, there's no Bluetooth. Overall smart choice",Best Smart TV in this price range.,B07RJQYL97
No calls from Kodak for the demo as it is not Amazon's responsibilities to arrange for the demo. Got an update from Amazon that you will get a call from them in 24 hours and installation will be done. But last 72 hours no calls came in.,2 Days after purchase!!,B07RJQYL97
Smart features are too outdated Amazon prime is not there as an app When you switch to plain black channel you dont see uniform black display i saw a burned display on my TV It take time to turn on when switched on unlike other TV's I tried putting USB for listening songs it didnt play the USB inspite to 2 USB connections. No feature to start over the movie on netflix it played from half way and could start it from begining. Price is less for a reason !!,Below Average,B07RJQYL97
It’s the worst experience ever . YouTube app is not working and I have been promised by Kodak to look into it and it doesn’t happen. Nobody comes even after emailing and waiting,Worst service and product,B07RJQYL97
"There was no mentioning of Pro on the package or TV. I ordered a FUll HD TV but it is mentioned as HD TV. Picture quality is very poor and jerky. When you playback from YouTube, you can’t access menu or change picture / sound settings. During the same time I had ordered VU TV which turned out to be way better and as promised. Worst experience buying online. Not even accepting return.",Worst TV and return policy,B07RJQYL97
