reviews_text,reviews_header,Asin
Poor quality item. please improve it ....... Mi LED TV 4A PRO 108 cm (43) Full HD Android TV (Black),Poor quality item. please improve it,B07T89Z35Z
"On papers the product looks good. However, when you start using it, issues will crop up in series. I am regretting buying this tv as it cannot be called a smart TV. They claim many things, but not everything work as expected. 1) Cannot connect it to wifi- WiFi connection keeps on dropping every minute. You can't use this tv as SMART TV. I raised a repair after struggling many days thinking that my internet connection is not strong. It took 6 days for them to come and check after I raised the request. The engineer said the problem is with my wifi router as TV is not compatible with TP Link router (which is absurd, why would you sell a tv which is not compatible with most used router brand) even though my other devices are working perfectly fine on the network. To that argument, i tried connecting TV to my phone hotspot. Connecting doesn't work in this case also. When i informed the engineer about this, he suggested me to connect tv to ethernet cable to use SMART features (in this case I cannot cast from any other device). The other issue is they are not trying to resolve the issue. 2) They claim it has Google play store. Honestly, it is useless. There are very few app which are usable. Even Netflix is not available. 3) You can't chrome cast all the apps. It support only limited set of apps. Cannot cast Netflix. 4) Patchwall which they advertise as its USP is actually useless. I never used it and i don't think anybody is using it to watch anything. 5) Very slow in opening apps and booting up. Not recommended if are looking for a smart TV. Can work if you only want to watch cable TV. In that case you much cheaper option available.","Bad product, no service support. Don't buy.",B07T89Z35Z
"I got it (43"") in 20k during sale. Worth every penny. Only downside is that it doesn't have IPS panel even through its a full hd tv which doesn't make sense, I am not gamer but gamers deserve IPS panel when they are buying a full hd tv so 1 star less only because it doesn't have IPS panel because this same model has IPS panel shown Tech Singh on his YouTube but end users are not getting the same. Amazon prime and Netflix is supported and will be automatically added when you update to the android version 9 which is available, go to settings and check for updates. Those who need subtitles for watching movies should know that the default video player doesn't support subtitles so if you want to watch videos with subtitles you should install vlc player, just make sure that the video file and subtitle file has the same name, just open the vlc player and give permission to storage and all your video files will be showing in vlc app, just click on the video u wamt to watch and subtitle will automatically work. Next day delivery by Amazon even during big sale and same day installation by Xiaomi on delivery date. Kudos to both for this. Remember, keep ₹500 ready if you want wall mount during installation. That is the price for wall mount only, if you don't take wall mount then you don't have to pay anything and get the installation done as table top. This is initial review just wanted help to those who think that this tv doesn't have amazon prime and Netflix or that it doesn't support subtitles. More review will follow in due course.",Value for money!,B07T89Z35Z
"I'm so disappointed with this product and Amazon service both. Firstly the product description never mentioned that you need to have a WiFi router just near the TV for it to work. This TV doesn't work even if the router is Jus 5 ft away. And Amazon - I tried explaining this to Amazon customer care so many times, but the answer I got was - Amazon doesn't take any return in electronics, it can only fix only if there's is a techinical issue. Not directly, but they asked me to change the layout of my house & rebuild it to suit the TV. I'm done shopping with amazon!!",DO NOT BUY THIS. NOT FROM AMAZON ATLEAST.,B07T89Z35Z
"This is quick review after installation for those who are about to buy, will repost if there are other observations. To the point feedback: Dont think further go for it! Pros: TV supports netflix and prime video after update, side loading not required (check screen images ) YouTube after update works flawlessly Screen mirroring as expected (minor lag as with all screen mirror apps ) HD videos works excellent. 4k videos are a treat to eyes. Side loading of apps easy peasy task. Low power consumption 4star rated tv. Amazon service excellent (delivery & installation) installation team called 4 times to confirm after installation. Cons: Dedicated mute button missing (can use google assistant to mute by giving voice command). Restarts couple of time if software is not updated,wich means without internet it might give some trouble for basic users. Sound quality can go better with this type of tv. Google assistant can go a bit better as at times mic doesn't recognise the command. Some sideloaded apps not work as expected. Could have provided extra memory as its a smart tv and buyer would like to load many apps wich requires extra space. NOTE: Above is day 1 experience, will share more after some days or if there is anything which requires attention.",Go for it! Value for Money.,B07T89Z35Z
"I bought it in the name of smart tv and cheap price. I'm disappointed with majorly two points: 1. Poor picture quality. I had Full HD connection. And, the quality is superb on my another TV (Samsung smart tv). But, the quality is so bad that I confirmed from my provider whether the connection is running on HD! 2. There is no Amazon Prime, Netflix App support in app. And, they are promoting their shitty patchwall app. This TV is good for people experiencing their first smart tv and that too in tight budget. Else, dont go for this TV. Samsung is best in this business.",Looks like Windows XP in the era of Windows 10,B07T89Z35Z
"Superb smart android TV in such a excellent price, it's really value for money . Super picture and sound quality. Good smart features. Smoth connectivity and screen cast is also good through crime cast features",Superb android TV in such a excellent price,B07T89Z35Z
TV stopped working after 6 th day of installation. Purchase date 5 Oct 19 Installation date 10 Oct 19 Return/ Replace window closed on 16 Oct 19 Replacement facilitie of 10 day is after installation. Here in my case return/replace window closed after 6 th day of installation. This is wrong. Very poor service from Amazon and MI TV -Atul Jadhav. Nashik 9860595996,TV stopped working after 6 day. Can't be replaced.,B07T89Z35Z
"This is extremely pathetic led and in fact a fraud. This MI Led is of extremely low quality and my new TV images are blurred with no sharpness. I have been following up with Amazon to get the issue resolved but they are simply not taking any interest. It would have been better if we buy such items from shops. Also the servicing company has scheduled 5 visits but never came even once. This is totally crap. Post buying , neither Amazon nor MI nor servicing company will take interest in ur woes.",Horrible LED. So not fall for trap. Very bad service from Amazon.,B07T89Z35Z
"-Ordered on Sunday, -Received on Monday. -got a call from the installation agent exactly at the time on product delivery. -30 min from then the agent came home and installed the TV 43"" with a new wall mount(charges 500rs). -checked all the features and they all work perfect -casting is just one click away. cant have Amazon prime :( got to figure out a work around can download some apps (like VLC, etc) through play store Overall good TV.","Happy, Satisfied, I Recommend this product",B07T89Z35Z
