reviews_text,reviews_header,Asin
This is the 2nd 32 inch smart LG TV I am buying the first one stopped working after 3 months some issue with the electrical adaptor. After 3 months of no response from LG customer care I thought its easier to buy a new TV. Made the mistake picked up the same TV thinking the previous may be one off. The new TV LG customer care came and installed the audio was not working they blamed the tata sky set top box and said get it fixed. Now tata sky technicians came and validated that their settop box audio is perfectly fine on other TV and this LG 32 TV has a issue. Big disappointment 2 times on amazon two times defective model was shipped. Not sure what's the issue but definitely makes online shopping experience bad. Totally disappointing please donot by LG products they seem to have overgrown the trust they once held,LG 32 smart TV Avoid!!!!,B07TMFQMJC
It is probably the best budget smart TV around with a brand name. I have been using it for about a month now and my thoughts are below The best thing about this product is it's price but don't buy it if you are looking for a premium product. The low points of the product is highlighted below 1) Sound quality is not good if you are planning to place the TV in the living room I will suggest you add a speaker for clarity 2) the smart features are not impressive with no screen cast support for Android .The web browser UI is not ideal but manageable. 3) the remote for this TV is not best built with a very long sequence required to increase brightness or picture quality. Also the absence of YouTube button is also not convenient.,Good product for it's price range,B07TMFQMJC
"I bought it for 16500 from Amazon during offer period Amazon 5/5 Picture quality:5/5:lg brand is known for its lot of new software such as WEBos .. Sound amazing: 20w speaker gives u a chill effect Smart :connect with Ur mobile and play hotstar,mx player and movies from Ur mobile to big screen BEST BRANDED UNDER smart TV under 20000..go for it.LG never disappoint..AND MAKES UR HOME GOOD",Amazon well done..LG.BRAND THAT GIVE TOUGH COMPETITION FOR SONY,B07TMFQMJC
In this TV reflectors are fall inside the TV that gives dots on screen. The glue used in this TV was low quality so it is not preferable. See youtube videos for dot in LG TV,One major problem on LG tv,B07TMFQMJC
West money don't purchase this tv,West money,B07TMFQMJC
Osm brand yaar,Very nice product,B07TMFQMJC
"Before buying this tv plz read out my review 1. Its not android tv, it’s webOS tv which is developed by LG itself. 2. Don’t expect for live tv 3. All the apps will not be installed 4.display clarity and sound is good 5. Hotstar, jio tvand soni liv shall not be operated but it may be through google chromecast bcz m not sure",Good tv with bad OS,B07TMFQMJC
"I have like the TV and smart tv option. It's been very user-friendly for me, but I am little disappointed with the description .It was mentioned as magic remote but received different but picture quality is not up to the mark of sony picture quality.",Lg Smart tv bought it very best rate.,B07TMFQMJC
"I'm using it from Feb 3, 2019. This is a very nice product from LG. This product is a 2017 model and that is why price is very reasonable. But I think It hardly matters whether it is 2017 or 2018 model. I asked at LG showroom, they told the price will be around 28k. But I got it from Amazon in 21k. Smart features are working nicely . Youtube app, Netflix and Amazon Prime app is working fine . But after Tv installation these apps might ask for upgradation. So You need to updated all apps after connecting wifi or LAN connection. Web browser of this TV is quite good. U can open any website through this browser. But might take little longer to load any video streaming website!! I'm using my broadband wifi and it has connected properly. LAN cable option is also there. TV has a good user manual app installed in it by which you can easily find out how to use this TV. this is very helpful. Miracast screen share option is quite effective for this TV. You need to install an app from Play store in your Smartphone. And need to register your TV with serial No in this APP. and then you can share your mobile's galley, videos etc in the TV. But remember you can't able to copy files or folders from your mobile to TV. Only You can share the screen. This TV does not comes with a magic remote! Overall very good product. I would recommend this product.",Nice Product . Smart features . very good Picture and Sound quality!,B07TMFQMJC
Awesome purchase. Got it for 16500. Great service by amazon. Delivered on time. Got it installed same day by LG. Had to call LG for the installation. Picture and Sound is great. Connectivity and Smart Features are working properly.,Great Purchase,B07TMFQMJC
The product is good but instead supplying magic remote as promised only ordinary lg remote was supplied which is not fair by company like lg,Good tv,B07TMFQMJC
"After a month of usage Installation was free with wall mount & was installed the same day evening. Display was brilliant more like Sony. Google Chrome browser helps you to browse everything like PC. Not android but good comparatively good. With apps available on Lg app store. Comes with just one year warranty as we buy online. If stores outside it comes with three years by default. Supports many video formats like mp4, divx also. With extra 3 to 4 thousand you can get voice activated remote control in other Lg model as this was just an normal remote no Google assistant",Best TV,B07TMFQMJC
"Oh the choices we have these days. From HD ready to 4k, thanks to surplus cash in hand, zero interest EMI and Chinese manufacturing. And what do we have in hand? A few HD channels and majority of it in SD broadcast (mind it, the 4:3 vintage quality). So when 576i source is amplified into full HD (not even 4k) in our large screen chinese imports(or Indian assembles), what we get is immersive, yet immensely dull rendering as you watch it from a distance. That's where 32"" tv comes handy. You gotta sit close, like 5-6 feet and that's the best compromise. Those who rely mainly on SD content, get this. The upscaling to HD screen is much better than in the other brands. Choice is between 'dull, large screen' vs 'small(32), crisp images'. I went for the latter. Yes, picture is sharp. Bright. Vivid. By that, i mean nothing life-like. Life is dull and boring, remember? We apply instagram filters to make it rich, it's the same here. You can dull it all down if you want in the settings. But yeah, the tv is a joy to watch. Much have been berated about the sound, I don't find room to complain anymore. The modern human want the most powerful car with the highest fuel efficiency. He seem to believe that he can get everything- use your brain for a while- a compact package would only give little room for the speakers, so how much loud can they really be? It is good for a bedroom or a small living room. There's lack of bass, but audio and music sounds much clear. There is also a clear voice mode. Think of it as an expanded phone speaker- serves the purpose. There's ample smart apps and there's also a HDR mode even for non-HD content- not sure what it does to the picture, haven't tested enough. Power consumption is a humble 45W (this at full backlight/contrast, will go down if you reduce it ) so you can run it on your home UPS all day. There's less heat from the back. TV starts within seconds and displays the hdmi input (dth box, in my case) which is so much of a + over the cheap android tvs. Pen drive plays hevc content too! That's a +. Of course, impeccable quality with HD and full HD content. Around 15k INR, what you get is a 50% higher priced LG than the TCL, Vu equivalent, but what you also get is the peace of mind of owning a brand that actually provides a warranty service. It's like buying a toyota. You would only realize the premium paid in the long term ownership. It's small, but it's a joy to watch.","for SD only content, this is more than enough.",B07TMFQMJC
I have 50 inch Samsung purchased 2 years back for Rs 80000 and Sony Bravia 32 inch 5 yrs back for Rs 35000 and now purchased this TV for Rs 14999 with 1000 cashback in amazon pay. I can say at this price this TV is just amazing. Its value for money. Trust me I find picture quality and sound quality of this TV better than my Samsung and Bravia,Just wow,B07TMFQMJC
"This product is been reviewed after 8 months of usage , nice picture quality has screen shareing , secondary device connection , internet surfing ,addon ahortcuts for like prime ,Netflix , best one",Strongly recommend among all smart TV,B07TMFQMJC
"Not so happy, as no hot star app, no sony liv app and mostly lacking indian apps, Also only one USB port is there, so if we put wireless keyboard we have to remove pendrive. No magic remote, just average purchase at such price.. Better to go for android tv","Average features, see app store and product details before buying",B07TMFQMJC
Please don't give negative feedback because I am using it and didn't find anything wrong or negative. Awesome Smart TV in this price range.,Brilliant Smart TV,B07TMFQMJC
It's 2 days since delivery. No call from installation person.,Installation,B07TMFQMJC
Got timely delivery and super fast installation on the very same day of delivery.. Installation is swift and LG guy explain all features in details.. Picture quality of TV is delightful along with decent sound output.. Can't ask for more in this price.. Go for it..,Super se bhi awesome..,B07TMFQMJC
"Like to buy branded TV ended with disappointment , not given magic remote,but advertising with magic remote features, poor tactics by LG as well as Amazon, Amazon customer care was not answering for any help only diverting queries to product manufacturers, Amazon handwashing tactics ,Not good picture blur, sound echoes , disappointed with LG products ,, Simply go MI , friends using for 7 month no problems,",Not good having issues frequently like no switching on.,B07TMFQMJC
"I bought many things in Amazon but this is my first review. Really it's wonderful TV from LG. Same day Installation, Thanks for the quick delivery and pit fire installation.Good customer service from both LG and Amazon.",Worth for the Money you spend💵,B07TMFQMJC
