reviews_text,reviews_header,Asin
Getting horizontal and vertical lines while playing 4k UHD video,Not good,B07TNVR737
"As it is given in the product information, it is not of HD quality.","As it is given in the product information, it is not of HD quality.",B07TNVR737
"Good tv but its have some bugs. Saved aspect ratio settings changes to 4:3 on everytime of turn ON. and 4k 60fps videos playing well . Remote need some improvement, some times tv doesn't recognise the remote. The special feature of voice recognition is not working.",Need some improvements,B07TNVR737
"Excellent TV . Am already blown away. Will write a detailed review in few days. After 1 day usage . 1. Display is terrific. 4k with hdr makes it awesome . Blacks are brilliant and brightness are good too . 2. Sound could have been better. Not that it is bad but lacks some kinda punch. 3. UI is pretty simple mostly Google . Smooth and easy . 4. Netflix, YouTube and few apps are inbuilt but missing Amazon prime video . Though you can cast it by inbuilt chrome cast . 5. Looks are great. Thin bezels 6. Remote is okay . Very minimalistic but does the job . You can control the TV by smartphone though 7. Major advantage of this TV is Google assistant . Works like a charm everywhere and you don't have to type . I got the TV for 17k . Exchanged my old TV for 13k and extra 2k discount for SBI card. Can't ask for more. It was a steel deal on Amazon festival time.",Awesomeness,B07TNVR737
It's size is only 49 inch not 55 inch... Size issue,It's only 49inch not 55 inch... Please show right size to the buyers,B07TNVR737
Ordered on 2nd October and tv is is delivered on 4th and my old tv was taken in exchange offer .The installation was scheduled on 9th and to my dis may the installation person didn't turn up.All the excitement that would have been there had installation taken place on the scheduled day has evaporated and there is no proper respone.The mail received threatens that if rescheduling for installation not done then it will be cancelled.I do not know what they mean by that.The long gap in installation and missing the installation date in not pardonable. They should open their eyes at l east now.,Inordinate delay in installation of TV and not turning up on appointment day,B07TNVR737
Hd channel viewing is good.sd channel viewing not good,Not bad,B07TNVR737
I have purchased this TV in Dusara Sales. TV is simply Awesome with extraordinary features. You feel great view with only HD channels. Only missing thing is Amazon Prime. I am eagerly waiting for that. Probably it may include in next update as per TCL announcement. You can enjoy 4k videos only if you have Gud internet connection. Please review all comments and compare with other brands also and then take decision.,Simply Awesome,B07TNVR737
"Have to say , This is awesome! The 43"" TV is the variant which I bought , I use it a lot for Netflix , Prime and Playstation. Tried running few things in 4k (Youtube Videos) it was amazing! Before going to Pro's con. Keep in mind this is a budget 4k TV. Pro's :- 1. Fairly Cheap 2. Android 9 is intuitive and easy to use , You need to download Apps like Hotstar and Prime. 3. Superb brightness and multiple screen settings to adapt as per your need. 4. FIFA is a joy to play on this! 5. Alexa integration is good but there are flaws. 6. Doesn't feel bulky. Cons 1. Alexa integration cannot turn on TV! But can turn it off. 2. Takes 5-8 seconds to start after switching off the Plug. 3. Voice recognition has issues when the TV is playing something. 4. Could've done with a better remote design (Perhaps removal of Netflix button?) Overall , the TV is bang for buck , you get what you pay and for as little as 21k (Bought with Discounts and all) it's absolutely amazing. I have not added the volume component since I don't mind having a lower volume.",MVP TV!,B07TNVR737
I got this for 32k during sale n i believe at that price I have no rights to complain about anything..worth the price ..n trust me even if u guys buy it for 40k its worth..all ends r sorted m pretty satisfied,Steal deal...,B07TNVR737
"I had purchased a TCL 65 inch TV on Amazon on 29th, September which was delivered on 4th October. The installation was supposed to be done on 6th through a booked slot during the purchase. No one turned up on 6th. After repeatedly escalating the matter on Amazon no one on the TCL installation department has bothered to respond. It has been 4 days past the due date and finally I have got the TV installed on my own. The service is really poor. Amazon was good enough to reimburelse the amount but the issues faced were too many. Now looking at the installation service I am afraid that if something is to happen to the TV I am expecting to face a lot of issues. The TV on the other hand is value for money. Really happy with the TV so far..it has built in android so need for a fire stick as well.",Poor installation service provider. Good Tv.,B07TNVR737
Speechless! Awesome job TCL hats off... deal is more worth than every penny. Picture quality is very good. Audio quality is very good. App opening takes little time but it's OK. 4k video are playing without any interrupt. I can rate this TV 10 out of 10.,TCL 43P8 Review,B07TNVR737
