reviews_text,reviews_header,Asin
"Delivery was fast but installation & demo part takes approx 6 days.I choose the slot but guy didn't came and completed the installation process of its own on its app.Installation part is not done by 1+,they had given installation to Amazon, Amazon had given to Cloudtail,Cloudtail had given to Qdigi,Qdigi had given to another co.Guy who came to me didn't know how to set correct picture?They only know how to hang TV on wall else nothing. 3.5 mm jack is missing.Colour is better but not the best like Sony.SD channel quality is very poor,HD channel quality is poor.4k quality is good.So,if you have budget go for Sony for the best display and service after sales.If you don't have budget go for budget TV at least you will save money .If you can wait for at least 1 week for installation & demo part you can go for 1+ TV as installation co will say they are overloaded in this festive season as they have to install other company TV's also.2nd execuse will be 1+ TV is new so they don't know all about demo part.Kindly check full hd and SD picture quality before buying any TV as 4k content is not easy available in the market.",Worst installation & demo process of 1 +tv,B07W5QZQ45
"If you have used a One Plus smartphone you're already aware about how the brand gives you value for your every buck spent. If you're someone who majorly consume content online on OTT you should definitely get this TV. Please skip this if you're going to watch your satellite TV as it's still isn't that great when it comes to upscaling SD content. Pros: Brighter screen with vivid colors Android TV USB type chargeable TV remote Loud & clear sound Cons: Poor upscaling for SD content HDR content looks poor as of now Unavailability of Netflix as of now No Table top stand provided Edit: The software update has fixed the HDR issue which I was facing earlier, Netflix isn't available yet.",A ideal TV for binge watching millennials,B07W5QZQ45
"Very impressive picture quality,and very smooth OS. Remote is chargeable like a phone,and the connect app just adds to the experience.",Impressive,B07W5QZQ45
"Being a loyal OnePlus customer since OnePlus 2, had great expections from the TV. So much so that I was amongst the 1st customer to buy the TV on the 28th of September and much to my pleasure the TV was promptly delivered on the 30th. However since then the experience has been pretty horrid to say the least. The installation slot was assigned on the 2nd of October at 10 am but the technician didn't show up until 3 pm, understandably that the technician are busy due to prime sale, I didn't pay much heed. The installation didn't take place that day, admittedly due to my own reservation. Finally after calling and pleading the technician again and again the TV was finally installed on the 5th, but much to my horror, the TV had a crack on the display. Upon taking up the issue, the Amazon team agreed to replace the TV immediately. But to replace the TV the technician has to file a report on the same and because my initial installation slot was on the 2nd, it expired. I was assigned a new slot for the 7th. As of today I am still waiting for the technician to report the TV to be damaged so that I can get a replacement. Given the procedure, even thought I bought the TV on the 28th of September, sadly I won't be able to experience it before the 12th of October. The defected tv is just sitting in my living room since the 30th and just hurting my eyes everytime I look at it.",The review is more to do with service rather the quality of the tv.,B07W5QZQ45
"There are dead pixels on a brand new tv. Called customer care multiple times since last 3 days, no one responding with concrete solution, just buying time. I have my return window till 10 Oct only, Please return or replace. Update: Got the replacement now, and is good so far.",Dead pixels on the TV,B07W5QZQ45
5 Star for OnePlus TV as a Product. 2 Star for the installation Service. TV definitely is a great buy. Great Quality and Dolby Vision. All you can see in different youtube comparison videos. I had options either to go with Samsung Frame of OnePlus. I choose OnePlus because do not want a dedicated Art TV and samsung art TV is loaded with bloats. I myself compared both in person now I see they are almost similar. Game Of Thrones final episode on both the TV is not perfect but better than many other TV in the price range of under 1.2 Lakh. Though OnePlus is a bit cheaper than samsung frame quality is a marginally above Samsung. Sound is great on Q1 and I do not feel reviewing it as installing a separate soundbar with sub woofer is what I prefer. Pros: - Good Price Range. - QLED panel outshines everything in your living room. - Android Mobile Apps APK sideloaded are cropped towards left. (something they may need to fix. Cons: - No Cons for TV. - Amazon service is pathetic. They denied installation at my pincode and I had to go with many troubles for getting it installed locally. (it goes away from buyers pocket),Amazing TV - Poor Amazon Service,B07W5QZQ45
"Any one getting pink screen? TV has major fault of showing pinkish colour. Tried resetting TV many times. Got a defective piece. Left Half the screen was black. I must be the one in first 5customers of this TV in my town, got the tv in prime sale installed even before it went on official sale. Had such a difficult time with Amazon to get it replaced. They took 11+ days to get it replaced. That's after 7-8 hours of overall phone calls to Amazon and one+ call centers . it was quite frustrating experience. Everything that is expected from this TV is beyond expectations. All clutter is gone from my tv set. Most imp, this TV got I build sound bar with amazing quality. This helped me get rid of all wiring and devices that were required to get good sound from flat TV. You need only one wire that's power cable if nt using any hdmi source. Picture is amazing. Adjusting colors not easy. Still Having trouble to make color calibration work effectively with my ps4. Internet connectivity is amazing Adsusting sound is not easy. No preset sound modes. Remote is small sleek and useful. But not very responsive. It takes time to get response back from TV. Remember!!!! TV screen is very very very delicate. Be careful if you plan to relocate. Installation people don't know much about installation. Stand beside them to check if they follow instructions that came with TV.","Best quality picture, sound, internet and remote",B07W5QZQ45
Day1: This z my first smart tv so unable to compare with other tvs..but this QLED was awesome...enjoying Edit1: I got a defective product...the picture is showing some pinkish/reddish showing other than actual colour.i need to change the settings daily for this issue,Waiting for Netflix,B07W5QZQ45
display and sound is stunning,Awesome quality,B07W5QZQ45
"The TV is exceptional, the sound quality amazing. The thing that lets the experience down is the remote, having no mute button is especially irritating and a long press on the volume down key doesn't serve that purpose as usually it does in Mobile devices. There is also no source button, and the tv always to defaults to the Android screen. Not the last source input screen. To watch TV for elders in the house, it proves to be too much to handle. Image processing is weaker than Samsung or LG but I am hoping software updates might improve the algorithm. HD and UHD content is good but sd is horrible. (Alexa or Google assistant aren't able to mute or change source like apple home kit, adding that function might greatly improved this experience) Verdict: no brainier if you have only people less than 50yrs old in the house. Side note: The installation experience was a nightmare, that is more of reflection on Amazon home services who sent one person to do the entire installation of this 55inch qled. After a lot of calls, they sent a decent engineer and his sidekick very late in the evening. Almost ruining the entire day. That's all. I can add more photos /videos but I am recording with my phone so the excellent sound quality might not be reproduced.","Everything is great, but the remote...",B07W5QZQ45
