reviews_text,reviews_header,Asin
"Simply Value for Money !!! without any doubts…… Best thing is that it covers everything like Netflix and Prime video also other apps too. Can refer the photo. It looks very slim as it is Bezel Less with good brightness, sound quality also good. Voice search works fine. Remote good. Video runs smoothly also when casting from cell. As May be I am the 1st buyer of this product so I was trying to find the defect since 4 days but till now was not able to find any. Product won against me. This is also my 1st review for any product on any website so do not know if above can help others but please ask question I will try to answer.",Simply Value for Money !!! without any doubts……,B07X413J1G
"For reference, in my living room I'm using a LG 55"" 1080p oled screen with nvidia shield tv and JBL LSR 308 MK2 studio monitors for sound. Using Sanyo in the bedroom with a yamaha YAS 108 soundbar connected with an optical cable. tl;dr: You get what you pay for. It's a good IPS panel which needs some tuning. The android tv experience is awful, you may get an aftermarket device like nvidia shield tv. Discerning videophiles stay away, this is a good inexpensive second tv if you need one but definitely not the one for your living room. Pros: - Above average IPS panel. Has some vignetting around corners and contrast isn't all that great because this' an IPS panel, but viewing angle is nice and wide. For the cost, a great panel is all I wanted. - The noise reduction and motion handling seem alright so far, except for 4k@60Hz. - Good external design - Acceptable sound. - Android TV Cons: - The software (Android TV implementation) is a huge mess. I've been using nvidia shield tv for 4 years now and the lack of attention to details on this 'smart' TV shows. - To begin with, the specs to run the Android TV aren't great, so the interface lags badly. Also because of the lower amount of RAM, every time you launch an app e.g. Netflix, it starts with the login process every effing time. - The google assistant is a hit and miss, because of the slower system. - The specs on this TV can't handle a youtube video 4k@60fps. The debug mode shows a lot of dropped frames which leads to jerky videos. 4k@24fps seems alright. - Only 5 color profile modes i.e. Standard, Vivid, Sport, Game and User. No Movie mode calibration. The user mode can be tuned to your liking with some basic options, no advanced color calibration options available. - THIS IS WHAT I HATE THE MOST: The option to tune picture and other TV options isn't available in the main menu or by pressing menu on the remote when you're in android tv screen. You have to press source and select some source option, now the menu will bring up 'more settings' where you may tune the picture settings. Sanyo, you have such a huge remote where most of the buttons are absolutely useless, would it have killed you put in a dedicated button to bring up the advanced menu? - Some picture settings apply only to the video, e.g. the color temperature. The android TV menu and even the subtitles aren't affect by these settings. E.g. If you select warm gamma, the subtitles and the android main screen still appear with a blue hue. - Amazon prime isn't available as an android tv app (although it's available on shield tv). Casting amazon prime onto this panel isn't a very pleasant experience. It doesn't play most of the times.","Great as bedroom TV, not for the living room",B07X413J1G
"Pros: Good picture quality, Latest Android, full screen Bezel less, good preinstalled apps, builtin Chromecast and budget price. Cons: Audio isn't very good, 1 star energy rating.",Good TV overall,B07X413J1G
Bought this TV to replace another 4K tv. REally happy about the purchase Pros Alround good picture and voice quality. Very crisp HD tv channels render. Sports channels are fluid. Android installation was breeze. Android 9 recognizes mobile phone (or vice versa) and all you have to say is - Okay google set up my TV. Wifi installation was quick and and the first thing to happen was TV app updated to latest one. This TV is slim and appears smaller compared to another brand I had earlier. Customer care called a twice to se if the TV was installed and everything was okay Overall very happy with the product. Lastly this is a Panasonic brand which I knew after the customer care called.,Really good TV,B07X413J1G
No Amazon prime video app Pls provide app,Good but no prime video,B07X413J1G
"Awesome product in the price range...Picture quality, sound quality both are awesome...Voice search works fine....Latest android available...However not able to download few apps from Google store....Was trying to search airtel tv.... may be it has some restriction...Also didn't see google chrome option and not able to download the same. Overall nice tv which has all basic needs.",Nice tv,B07X413J1G
I did not like the product and I want to return for my refund please help me in getting a refund for the purchase,I want a refund,B07X413J1G
"So all in all good product, the sound seems a little bit off. picture quality is as best as it is available in the market Don't be fooled if this is your first android tv , yes it does ships with google play store but don't be under the impression of getting tons of application to play around with. You will be left with limited apps, out of that also very less would be actually useful tip:- still haven't used or tested Netflix (but the separate button is given for the same) if you are buying this for family recommended is amazon prime rather than Netflix which will be only English while prime is much cheaper giving most of the local language movies and shows pros:- 1)screen (4K HDR) 2)lightweight 3)wireless life 4)low on budget 5)inbuilt chrome cast(which means you will be able to cast everything from your android mobile device as long as you are connected on the same wifi network-->tried amazon prime works like butter) cons:- 1)sound quality 2)amazon prime missing update after using it for 15-20 days pros:- 1)can watch downloaded movies by plugging Pendrive(saw 10 GB print of avatar -->real treat for the eyes) 2)limited apps to play around with when using it over the internet like hotstar , prime,zee5,jio movies,NetFlix(there is no jio tv ) 3)can play small games like hungry shark or some car games (but big no no for graphics games like pubg) cons:- 1)sound quality goes off the cart when watching some standup comedy on youtube defn it needs some major upgrades 2)side loading of apps is next to impossible (even in spite of it being an android tv){meaing you cant download an app into Pendrive and install it)",Prime is missing(don't know about the dates for OTA update),B07X413J1G
Great customer service from Amazon. My first delivered product was found to be defective and was promptly replaced by Amazon after technical visit. This product is value for money. Great picture 4k. Viewing the same in HD is giving totally different experience. Sound quality is also great. DTS tru surround sound with 20W output is enough to give great sound experience. You can also attach your home theatre to it to get Dolby sound experience. 2 USB and 3 HDMI slots. Will recommend everyone to buy this.,Great product at great price with amazing picture and sound quality,B07X413J1G
"I got this TV on 22nd of this month. So far very good. Picture quality and sound quality is amazing. Integration with Netflix, amazon prime and YouTube is flawless. Google voice support is very good. Internal chrome cast works like a charm. Only flaw is Google photos app missing from the tv, we need to cast from phone to see photos. Overall expextioanlly good for this price range. Quick and clean delivery from Amazon. And Engineer from Panasonic team came on the same day and did the walmount and explained all features of TV.",Awesome smart TV for less than 15k range,B07X413J1G
