reviews_text,reviews_header,Asin
Received a defective product which has green dots on the screen when turned on. I have been behind Amazon since the day I received this TV to have it replaced but they keep pushing back. Literally awful support from Amazon. They are just waiting for the replacement period to get over. I’m having a horrid time speaking to the cust executives and no responses on mail as well. Most of the functions in the TV are good but I don’t think it is as great as hyped about. My advice would be to go for Blaupunkt through flipkart.,Defective Product and Pathetic support,B07X841RGL
"Most probably, the MI TV 4X 50 inch is having VA Panel. There is no way to find out whether it is IPS/VA, at least from the Menu. The display is very good, except for the light bleeding in complete dark area or scene. This will not affect your viewing experience. User interface especially menu is a bit tricky. One useful feature is it remembers the last input source. So if you are watching TATASKY-->Switch off --> Switch On --> The source last played will be selected by default. HDMI ARC is working fine, but getting the ARC through the Yamaha Receiver (HTR3067) was a herculean task. Android TV is good. Prime Video starts and plays without any hiccup from the Remote. I have got it on the first day sale for Rs.27000/- (SBI Offer + Amazon Cashback). The TV is total value for the money. Esp 4K HDR 50 inch display at this price with reasonably good build quality is excellent. Reduced one star because of the basic remote (No mute button) and No standby mode. If you switch off from Remote, the TV shuts down (No standby) and restarts from the scratch if you switch on again. I heard that the you can take it to standby mode through voice command, yet to test that part. Update 17.10.2019: There is a provision to keep TV on standby. Press and hold the power button. Select ""switch off video"".",Value for Money.....,B07X841RGL
Value for Money... Amazon delivery owsm they deliver before commit date... TV quality owsm... Picture quality also very good... But... Tv speaker not good.,Picture and overall 10/10,B07X841RGL
No patch wall update No data saver option available No sound quality Tv is very slow loading apps/videos Screen mirroring is lagging,Budget friendly but bulk of issues..,B07X841RGL
Good Picture Quality👍🏻,Simply Awesome,B07X841RGL
"Good TV. Nice panel and colour reproduction. There are some connectivity issues, doesn't play Netflix and Amazon videos when it's connected to soundbar with Bluetooth.",Nice TV but some connectivity issues.,B07X841RGL
Love this product for it's value,MI is always best,B07X841RGL
"Purchased this on 1st October. Very poor performance for a new product. There is unwanted noise from the speakers. TV mutes when I change a channel on Tata Sky set top box. The old TV is performing better than this. Requested a replacement from Amazon, but havent received any communication in 24 hours.",Disappointing experience,B07X841RGL
"Installation not done properly, even not set up the dis TV, wall mounting not done as per required height, unable to watch the TV properly, need to adjust the TV height on wall, very unprofessional installation, I was not available that time at home, it just done the incomplete installation, No proper training given how to run the TV, No phone call before coming, please send someone who is trained for installation again","Installation problem, TV not running",B07X841RGL
Worst. 6 days passed still don't get installed. How will chek and unless n until it's installed.if anything is wrong in tv how I come to know within returnable period. Only 4 days left.insted I must buy it from store the next day it will get installed,Worst service,B07X841RGL
Facing Many issues with this TV 1) Data saver mode isn't available ! 2) HDMI arc support isn't working 3) AV port isn't too working 4)while connecting home theatre via Bluetooth amazon prime video isn't playing Even mi technicians are not that helpful to resolve the issues ! I feel I got defective TV,Problems with this TV,B07X841RGL
Look good. Feels good. Speakers are great for living room. Picture quality and easeness is plus point. Remote is easier to understand by elderly as well. Enough in/out port and chromecast option is welcomed. Software is obsolete and there is no update as pf yet. I like patchwall more then default android tv. I wish there was good google/chrome app there. I also use sure/zazaremote in samsung galaxy note4/note9 to act as remote and it allows keyboard input which is faster. There is small probelm near screen. Photo attached.,Best 4k hdr10 Tv for low budget (under 30k),B07X841RGL
I m not happy with installation associates. Associates are in hurry He doesn't know about installation,Installation,B07X841RGL
"When we change channel in Tatasky set top box, VERY OFTEN, the sound gets muted after changing channel - Volume up/down, either in TV remote or in Tatasky remote, will not help in such situation. The way out is... switch to Netflix/Primevideo on TV, and come back to same tatasky channel by selecting HDMI - then, the sound is back. Checked if any patches/updates are available for the TV - but, it says, it is already uptodate. Request a solution for this.",Gets muted when we change channels,B07X841RGL
"Guys, the delivery from Amazon is fine and the response from them regarding the product is quite ok but the actual problem is with Installation which will be done by MI team. They will loot you and demand for extra money(you won’t have option but to pay). The MI executive came and installed TV and said as it is Movable wall mount, we charge Rs.2750 and extra amount for evening time service. When I have enquired with MI team customer care they said, only Rs.1600 will be charged including taxes for installing TV with movable wall mount. Such a rogue, he is shouting and started de-installing just because I enquired with customer care for installation rates.He said he won’t take any amount less than Rs.3000/- Even the MI team couldn’t convince the rates to its own employee, he is not at all listening to his team and started to quote his own price. Guys, think twice before you book an MI product, HORRIBLE is a small to describe their service.",Worst installation and a nightmare experience with MI service team,B07X841RGL
"You can compete this with Sony Bravia 4K, I was skeptical before the purchase but post installation I can worth buying. Very nice TV.",Value for money - Purchase,B07X841RGL
"Defective Piece. Prime Video not working when connected to Home Theater via Blue Tooth. Raise issue with MI Team, and they are not able to resolve. Raised issue with Prime Video and they are also unresponsive. Amazon's service is getting pathetic day by day. Facing issues with almost every order placed from Amazon.",Pathetic Service and Response from Amazon,B07X841RGL
Great experience and value for money. Don't waste your money in going for expensive brands. This TV is awesome both in terms of picture quality and audio quality.,"Value for money, great deal",B07X841RGL
