reviews_text,reviews_header,Asin
"Though it is android TV comes with pre-installed PRIME VIDEO and other Video apps, Prime video and other apps are getting crashed. i have raised complaint to Amazon to troubleshoot the issue and their technician has reported that TV has issues without showing-up to my house . i've also contacted VU customer service, they said this model has issue. i really had bad experience with amazon service. the lesson i learnt is buy it from your local shops around you, instead of going through this hardship. Zero Star for their valuable service. i don't thing Amazon will post my review.",Beware of VU Ultra Android TV,B07XK9JSGY
"So, bought this TV during the recent Great Indian sale. 1) This TV is apt for viewing distance of 10-15 feet - Comes with the wall mount. 2) The picture quality and sound is actually good - Not attaching images as I am not good with photography. 3) Pre-installed apps are working fine (Netflix/Zee5/Hotstar/the usual runners). 4) Play store provides ample other options. What's not working: 1) So, this probably is a Amazon Prime issue. I am not sure (need to call Amazon) but my Prime is not working. Like the device is registering to my account however when I try to play the video - I get a msg to go to amazon.com/videohelp. Which really is not helping. I can cast via my phone though so I guess, it's not a complete dead end. 2) Phone mirroring works however lags by a few seconds. Overall, a must buy at the discounted price that I bought it - INR 18k. Final word, a big thank you to the installation team. Missed the first schedule (understandable during sale season) however, second run wasn't a Miss and the guy was good. No hassle and polite.",When a woman reviews,B07XK9JSGY
Nice as under 12k. Will update review and share once use for six months .as I seen it's required proper 4g speed which not available in india at all locations even in metro.,Nice as per price,B07XK9JSGY
TV installation completed after 12 days... It's disappointed us as the service is poor... But the quality of the TV is very good... Smart TV functionally I didn't check. I will update after using some months. Blindly go for this brand if you need a better one with in your budget price. This is my third VU TV purchase for my family members.,Very good TV brand with a average service...,B07XK9JSGY
"Amazon gave false commitment stating Amazon prime will work while buying tv, but now customer support team said prime video won't support in the tv",Amazon prime not supported in this TV,B07XK9JSGY
Good but Amazon prime doesn't work with the inbuilt app. Also some inbuilt app force close themselves. Buggy software. Update: There was an update to the software. Amazon prime is working now. Good quality TV with super clarity and colour reproduction.,Good,B07XK9JSGY
The delivery was on time ...but NO one came for installation ... No one called ... Coming to voice - its low ... Amazon prime video - if you are a paid member - still doesn't work ... Called amazon - according to them we need to wait for the update only then it will work - and they dont know when the update will be released... Pretty unhappy with this buy ...,Unhappy,B07XK9JSGY
This tv is good sale if you get during great indian sale with exchange...bank discount ...with Amazon pay balance 1000 cashback.... Everything is good ...only one thing missing is voice search.... I have installed android remote control and connect with Bluetooth option..Google voice search works fine....,Nice tv with latest.,B07XK9JSGY
"Tv is with me, no installation from past 2 days. No proper timeline and response also. Now installation done. But coming to tv look and working, it’s simply awesome. Prime also working after reset/update tv os. Cool tv and best budget in this price. Voice option remote could be better.",Too much delay in installation,B07XK9JSGY
"The company is duping customers.. pls never buy VU TV..plus never buy white goods from Amazon during festive sale..their installation team will ruin your zeal by keeping installation pending for one month and then making item non returnable. PL use only brand arranged installation and not Amazon home services one. Actually, without Google voice assistant feature on its remote, it is not fully Android smart TV.. we have to struggle a lot for search icon.",Poor quality by VU TV,B07XK9JSGY
